ref,word,num,dep,label,dep2,label2
"Wel.001",Hiicooo,1,,,,
"Wel.001","be'eih,",2,,,,
"Wel.001",nenee'eesih'inoo.,3,,,,
"Wel.002",Hiinono'eininoo.,1,,,,
"Wel.003","Heneeyeihno'useenee,",1,,,,
"Wel.003","neito'eino',",2,,,,
"Wel.003","ceiteehiiho',",3,,,,
"Wel.003","beesneniteeno',",4,,,,
"Wel.003",nohci',5,,,,
"Wel.003",tei'yoonoh'o'.,6,,,,
"Wel.004","Heetnoowohbeebeteeenee,",1,,,,
"Wel.005",nohci'niibootiini'.,1,,,,
"Wel.006",Beisbixoo3e3enee.,1,,,,
"Wel.007",Hohou,1,,,,
"Wel.007",nii3e3enee.,2,,,,
