ref,word,num,dep,label,dep2,label2
"WhBear.001",hee3e'inowoo,1,,,,
"WhBear.001",heescih'iisiii'oonoo,2,,,,
"WhBear.001",nihwoo3ei'i,3,,,,
"WhBear.001",hiinikotiit[ono].,4,,,,
"WhBear.002",biikoo,1,,,,
"WhBear.002",nihwoo3ei'i,2,,,,
"WhBear.002",hiinikotiitono:,3,,,,
"WhBear.003",hooxeiheihiit,1,,,,
"WhBear.003",noh,2,,,,
"WhBear.003",noononiikohetii[t].,3,,,,
"WhBear.004",noh,1,,,,
"WhBear.004","nih'iikoxookowou'u,",2,,,,
"WhBear.004",hoonoo3ei'iikohetii[t].,3,,,,
"WhBear.005",hinenteeneyoo3oono,1,,,,
"WhBear.005",nih'iiniiniisooni'i.,2,,,,
"WhBear.006",honoono'ookeitooni'i,1,,,,
"WhBear.006",nih'iiteeteteesoo'oono',2,,,,
"WhBear.006",tih'iinih'oubeeno':,3,,,,
"WhBear.007",noonookoheikoohuno'.,1,,,,
"WhBear.008",neyeih'inoo,1,,,,
"WhBear.008",nihi'iinikotiino',2,,,,
"WhBear.008",nohkuuhu',3,,,,
"WhBear.008",neciinonoo3ootiininoo.,4,,,,
"WhBear.009","hei'cihno'o3iikoheinoo,",1,,,,
"WhBear.009",nih'iinii3yiiyih'oonou'u,2,,,,
"WhBear.009",nihoonou'uho'.,3,,,,
"WhBear.010",nih'ii3ee3ei'eikuu3oono'.,1,,,,
"WhBear.011",noh,1,,,,
"WhBear.011","ne'no'ookeitooni'i,",2,,,,
"WhBear.011","nih'iikokoo'ci3o'ooni',",3,,,,
"WhBear.011",seese'esooneeni'.,4,,,,
"WhBear.012",cihi'noseinou'u,1,,,,
"WhBear.012",nih'oonouteyooneeni'i.,2,,,,
"WhBear.013",neinoo,1,,,,
"WhBear.013",nih'iiniistoneino',2,,,,
"WhBear.013",ho'uwoono3o;,3,,,,
"WhBear.014",noh,1,,,,
"WhBear.014",ne'nih'iit3eiinowuno',2,,,,
"WhBear.014",noto'uwooninoo,3,,,,
"WhBear.014",heenees3o'ohowunou'u.,4,,,,
"WhBear.015","benee3iii'i,",1,,,,
"WhBear.015",biitobeeniihi',2,,,,
"WhBear.015",ceesisbeebenxootiini'.,3,,,,
"WhBear.016",hinee,1,,,,
"WhBear.016",tokoo3,2,,,,
"WhBear.016",ho'oheeniiciihehe',3,,,,
"WhBear.016","hoh'eni',",4,,,,
"WhBear.016",nih'iibiibii'inoono',5,,,,
"WhBear.016",be'enou'u,6,,,,
"WhBear.016",noh,7,,,,
"WhBear.016",nih'iiwo'tenoono',8,,,,
"WhBear.016",tih'iibiineihi3i'.,9,,,,
"WhBear.017",hooyei,1,,,,
"WhBear.017",heeneicxooyeihiinou'u,2,,,,
"WhBear.017",hohootno',3,,,,
"WhBear.017",tih'iiteeteexokuutonoono'.,4,,,,
"WhBear.018","nih'iikohoh'ohwootiini',",1,,,,
"WhBear.018",noh,2,,,,
"WhBear.018",nih'iino'otowooteihiitooni',3,,,,
"WhBear.018",heeneetohniisibetiitooni'i.,4,,,,
"WhBear.019",hinee,1,,,,
"WhBear.019",nihciinoo'oneihinoo,2,,,,
"WhBear.019",ce3ohwoot.,3,,,,
"WhBear.020",notouho',1,,,,
"WhBear.020","nih'ee3kuu3i3i',",2,,,,
"WhBear.020",behiiscowooyei'onou'u.,3,,,,
"WhBear.021",cenihno'o3kooneniii[noo],1,,,,
"WhBear.021",neinoo,2,,,,
"WhBear.021",tih'esoohowo',3,,,,
"WhBear.021",neniisi3ei'i3i,4,,,,
"WhBear.021",neisonoo,5,,,,
"WhBear.021",tih'iino'uxohoot.,6,,,,
"WhBear.022","hii3einoonoseino',",1,,,,
"WhBear.022","ce'eenoono,",2,,,,
"WhBear.022",totoos,3,,,,
"WhBear.022","hokeihtoono,",4,,,,
"WhBear.022",nenei'i,5,,,,
"WhBear.022",nih'iiniixoneebiibiineihiinou'u.,6,,,,
"WhBear.023",hii3einoono'uuw,1,,,,
"WhBear.023",nih'iini'coo',2,,,,
"WhBear.023",nohkuuhu',3,,,,
"WhBear.023","niinen,",4,,,,
"WhBear.023",noh,5,,,,
"WhBear.023",nih'iiniiniikohu'u,6,,,,
"WhBear.023",ho'uwoono3o.,7,,,,
"WhBear.024",hii3einoonoseino',1,,,,
"WhBear.024",se'esei'i,2,,,,
"WhBear.025",nih'iinookoonetee',1,,,,
"WhBear.025",noh,2,,,,
"WhBear.025",nih'iibesiiwoohu',3,,,,
"WhBear.025",ceneecebkoniitooni'i.,4,,,,
"WhBear.026",toyoohowou'u,1,,,,
"WhBear.026",no'uxotiinoo3i,2,,,,
"WhBear.026",hinenno'.,3,,,,
"WhBear.027",nih'oyeitiib,1,,,,
"WhBear.027",niito',2,,,,
"WhBear.027",hoceikoohuutooni',3,,,,
"WhBear.027",hinenno',4,,,,
"WhBear.027",hisitee,5,,,,
"WhBear.027",noh,6,,,,
"WhBear.027","huucoono,",7,,,,
"WhBear.027",hiinotoo,8,,,,
"WhBear.027",noh,9,,,,
"WhBear.027",hicoo.,10,,,,
"WhBear.027",[hocoo?],11,,,,
"WhBear.028","xoo'oneenou'u,",1,,,,
"WhBear.028","nih'iicih'owootiini'i,",2,,,,
"WhBear.029",noh,1,,,,
"WhBear.029",nih'iinohkubiini'i,2,,,,
"WhBear.029",hookouhut,3,,,,
"WhBear.029",hocoono.,4,,,,
"WhBear.030",hixono,1,,,,
"WhBear.030","nih'iibehiisxo'yohu'u,",2,,,,
"WhBear.031",noh,1,,,,
"WhBear.031","ne'nih'ii'no'o'nenei'i,***",2,,,,
"WhBear.031",nih'iiceneiikoohu'u.***,3,,,,
"WhBear.032",ceb,1,,,,
"WhBear.032",ne'nihi'iiniiscihi'i,2,,,,
"WhBear.033",noh,1,,,,
"WhBear.033","he3ebbe3e'inoo'ou'u,",2,,,,
"WhBear.033",ne'nih'ii'3eiini'i,3,,,,
"WhBear.033",tohookoosiseno,4,,,,
"WhBear.033",tohuunohkubiineihiinoo',5,,,,
"WhBear.034","hibiiswoono,",1,,,,
"WhBear.034",hiniinooxo,2,,,,
"WhBear.034",hi3ooxuu,3,,,,
"WhBear.034",noh,4,,,,
"WhBear.034",huukono,5,,,,
"WhBear.034",nih'iibehiistonouni'i.,6,,,,
"WhBear.035",heenee'iihi',1,,,,
"WhBear.035",nih'iikoxohowooni',2,,,,
"WhBear.035",yookoxuu,3,,,,
"WhBear.035",(cee'ei'i),4,,,,
"WhBear.035",tih'iibiini'i.,5,,,,
"WhBear.036",nihwoo3ei'i,1,,,,
"WhBear.036",cei'sou'u,2,,,,
"WhBear.036",hi3eicii.,3,,,,
"WhBear.037",nohci'nih'iikou'uni'i,1,,,,
"WhBear.037","biino,",2,,,,
"WhBear.037","ne'ibino',",3,,,,
"WhBear.037",noh,4,,,,
"WhBear.037",tootoocibino;,5,,,,
"WhBear.038",noh,1,,,,
"WhBear.038",nih'iiseyouwuhu'u,2,,,,
"WhBear.038",noh,3,,,,
"WhBear.038",nih'ii[nii]3oxesnouni'i.,4,,,,
"WhBear.039",hinee,1,,,,
"WhBear.039",niixoo'ou'u,2,,,,
"WhBear.039",noh,3,,,,
"WhBear.039",ceciniihi',4,,,,
"WhBear.039",nih'iibiini'i.,5,,,,
"WhBear.040",bih'ihii-,1,,,,
"WhBear.040",noh,2,,,,
"WhBear.040",nisicehiinoseino',3,,,,
"WhBear.040",nihnii3ooyeisou'u;,4,,,,
"WhBear.041",ci'ne'nih'iisbeistonouneihiinou'u,1,,,,
"WhBear.041",nohkuuhu',2,,,,
"WhBear.041",hinotoyeiciino[-no:,3,,,,
"WhBear.041",sic],4,,,,
"WhBear.042",hiwoxuuhuu[no],1,,,,
"WhBear.042",noh,2,,,,
"WhBear.042",hoseino',3,,,,
"WhBear.042",nih'e'eenebeihiinou'u.,4,,,,
"WhBear.043",hiwoxuuhookutee,1,,,,
"WhBear.043","nih'iiwo'3iheihiinou'u,",2,,,,
"WhBear.044",noh,1,,,,
"WhBear.044",hiseino',2,,,,
"WhBear.044",he'ihP,3,,,,
"WhBear.044",hibiixuutooninoo,4,,,,
"WhBear.044",nih'iibeheibto'ohu'u.,5,,,,
"WhBear.045",neeso,1,,,,
"WhBear.045",hiibiixuutoninoo,2,,,,
"WhBear.045",hiwoxuuhookuto'ohuno,3,,,,
"WhBear.045",hooxoohuut.***,4,,,,
"WhBear.046",niisbeesbetootosei'i,1,,,,
"WhBear.046",'oh,2,,,,
"WhBear.046",tih'iiP,3,,,,
"WhBear.046",beicito,4,,,,
"WhBear.046",heeneisootei'i,5,,,,
"WhBear.046",hibexoot.,6,,,,
"WhBear.047",hei'no'uuu'oonoo,1,,,,
"WhBear.047",nih'iikokoh'eenebi3i',2,,,,
"WhBear.047","honoh'oho',",3,,,,
"WhBear.047",nih'iitesototeihinoo.,4,,,,
"WhBear.048",neniiheininoo,1,,,,
"WhBear.048",nih'iiseineebeino',2,,,,
"WhBear.048",heesoo'ohk,3,,,,
"WhBear.048",huusiit,4,,,,
"WhBear.048","neeneisniisi3ootiini'ehk,",5,,,,
"WhBear.049",wo'ei3,1,,,,
"WhBear.049",niisciinoononeihiitooni'ehk,2,,,,
"WhBear.049",hiiniine'etiit,3,,,,
"WhBear.049",ni'iinowoohuut,4,,,,
"WhBear.049",nuhu',5,,,,
"WhBear.049",heiciinowoo'oono.***,6,,,,
"WhBear.050",ne'cihwone'inowoo,1,,,,
"WhBear.050",niisniisihi'i,2,,,,
"WhBear.050",hoo3inootino,3,,,,
"WhBear.050",noowoneihinoo.,4,,,,
"WhBear.051",koxuute',1,,,,
"WhBear.051",nih'iiciixookoheinoo,2,,,,
"WhBear.051",hooxebine',3,,,,
"WhBear.051",wo'ei3,4,,,,
"WhBear.051",niiciihehe'.,5,,,,
"WhBear.052",noh,1,,,,
"WhBear.052",honoh'oho',2,,,,
"WhBear.052",nih'iibeh3ii3i'oku3i',3,,,,
"WhBear.052",boone',4,,,,
"WhBear.052",tih'iibeetnoohowoo3i',5,,,,
"WhBear.052",hiseihih'o.,6,,,,
"WhBear.053",hih'iihoowuniiseno'oono',1,,,,
"WhBear.053",hiseihih'o',2,,,,
"WhBear.053",nokoo3.,3,,,,
"WhBear.054",nih'iibeexuubineenitesei'ee3i',1,,,,
"WhBear.054",bii'o'oono'.,2,,,,
"WhBear.055",neih'oowbeesisei,1,,,,
"WhBear.055",tih'iisinoo;,2,,,,
"WhBear.056",xooxonou,1,,,,
"WhBear.056",cesisniiheniine'etiiyoohunoo,2,,,,
"WhBear.056",heescih'iisinoo.,3,,,,
"WhBear.057","benee3iii'i,",1,,,,
"WhBear.057",xonou,2,,,,
"WhBear.057",nih'e'ino[wu]ni',3,,,,
"WhBear.057",nih'eeneis[noo]noono'uyooni',4,,,,
"WhBear.057",hookono,5,,,,
"WhBear.057",houwo,6,,,,
"WhBear.057",noh,7,,,,
"WhBear.057","niiinono,",8,,,,
"WhBear.058",noh,1,,,,
"WhBear.058",hitoohuuhooxebii,2,,,,
"WhBear.058",nih'ei'inou'u,3,,,,
"WhBear.058","nih'iibiino3ee3i',",4,,,,
"WhBear.058",tih'iinooteihi3i',5,,,,
