ref,word,num,dep,label,dep2,label2
"WhHor.001",wohei,1,,,,
"WhHor.001","teecxo',",2,,,,
"WhHor.001",teecxo',3,,,,
"WhHor.001",hinee,4,,,,
"WhHor.001","neeyou,",5,,,,
"WhHor.001",hinee,6,,,,
"WhHor.001","nihii,",7,,,,
"WhHor.001","niineniiniiciihehe',",8,,,,
"WhHor.001","niineniiniiciihehe',",9,,,,
"WhHor.001","3ebiihi',",10,,,,
"WhHor.001","hinono'ei,",11,,,,
"WhHor.001","hinono'ei,",12,,,,
"WhHor.001","hinono'ei,",13,,,,
"WhHor.001",he'ne'P...,14,,,,
"WhHor.002",hinit,1,,,,
"WhHor.002","hihcebee,",2,,,,
"WhHor.002",hi'in,3,,,,
"WhHor.002","heetcooco'otoyiini',",4,,,,
"WhHor.002",ne'niitoh'uni,5,,,,
"WhHor.002",noti'oneiht,6,,,,
"WhHor.002","hinenitee,",7,,,,
"WhHor.002",hinen.,8,,,,
"WhHor.003",hoowuuhu',1,,,,
"WhHor.003",hoowuu3iihi'.,2,,,,
"WhHor.004",hi'in,1,,,,
"WhHor.004",hinenno',2,,,,
"WhHor.004",nih'iiniisiii'ootou'u.,3,,,,
"WhHor.005",he'neen,1,,,,
"WhHor.005",nihbii'eenebeiht.,2,,,,
"WhHor.006",he'ih'iiniihonkoohu;,1,,,,
"WhHor.006",niihonkoohu.,2,,,,
"WhHor.007",he'ih'eso'oo.,1,,,,
"WhHor.008",nuhu',1,,,,
"WhHor.008",hiwo'ohno,2,,,,
"WhHor.008",...,3,,,,
"WhHor.009",wo'ohnooono,1,,,,
"WhHor.009",he'ihnii3in.,2,,,,
"WhHor.010",tohuubeebee3isei'i,1,,,,
"WhHor.010","wo'ohno,",2,,,,
"WhHor.010",hoote,3,,,,
"WhHor.010",...,4,,,,
"WhHor.011",hootooneihiini'i.,1,,,,
"WhHor.012",tei'ou'u.,1,,,,
"WhHor.013",he'ih'iiwoxusii.,1,,,,
"WhHor.014",heenoo,1,,,,
"WhHor.014",woxusiitono,2,,,,
"WhHor.014",niiniihobei[hii]nou'u.,3,,,,
"WhHor.015","nii'ehiiho',",1,,,,
"WhHor.015",nii'ehiiho',2,,,,
"WhHor.015","nihii,",3,,,,
"WhHor.015",nih'iibiini3i'.,4,,,,
"WhHor.016",niixookuunee3i',1,,,,
"WhHor.016",wo'ei3,2,,,,
"WhHor.016",niisookuunee3i',3,,,,
"WhHor.016",nenee3i'.,4,,,,
"WhHor.017",wohei,1,,,,
"WhHor.017",ceceecei.,2,,,,
"WhHor.018",heenoo,1,,,,
"WhHor.018","nono'ei,",2,,,,
"WhHor.018","3owo3nenitee,",3,,,,
"WhHor.018",nih'iiceceeciini,4,,,,
"WhHor.018",...,5,,,,
"WhHor.019",he'ih'iiceceeco'ohuno'.,1,,,,
"WhHor.020",hi'in,1,,,,
"WhHor.020",nenee'.,2,,,,
"WhHor.021",kookon,1,,,,
"WhHor.021",tih'iiciiteneihiinoo',2,,,,
"WhHor.021",heeyouhuu,3,,,,
"WhHor.021",hoowuneyei3tootiin.,4,,,,
"WhHor.022","xonouuwtootiini',",1,,,,
"WhHor.022",hiisoho'.,2,,,,
"WhHor.023",nenee':,1,,,,
"WhHor.024",xonouuwnee'eestootiini'.,1,,,,
"WhHor.025",hoowuneyei3tootiin.,1,,,,
"WhHor.026",ne'nihcih'ee3ei'inou'u,1,,,,
"WhHor.026",beh'eihoho'.,2,,,,
"WhHor.027",kookon,1,,,,
"WhHor.027",hoowuuteneihiinoo.,2,,,,
"WhHor.028",heii,1,,,,
"WhHor.028",...,2,,,,
"WhHor.029",tohceceeco'oheihiinoo'.,1,,,,
"WhHor.030",hi'in,1,,,,
"WhHor.030",nenee':,2,,,,
"WhHor.031",hinenitee[no'],1,,,,
"WhHor.031",nih'eixo'owuu3i',2,,,,
"WhHor.031","woxu'uu,",3,,,,
"WhHor.031",hetnii3oobei3i'.,4,,,,
"WhHor.032",hi'in,1,,,,
"WhHor.032","nenee'eesinihiinoo3i,",2,,,,
"WhHor.032",heetnehnee'[ees]noohobeihiinoo'.,3,,,,
"WhHor.033",nohuusoho':,1,,,,
"WhHor.034",nenee',1,,,,
"WhHor.034",nih'eeneisoo',2,,,,
"WhHor.034",huune'etiit,3,,,,
"WhHor.034",heetee,4,,,,
"WhHor.034",hinono'ei.,5,,,,
"WhHor.035",no'o',1,,,,
"WhHor.035",he'ih'eenentoono',2,,,,
"WhHor.035",notkoniinenno'.,3,,,,
"WhHor.036",hoonoyoohootou'u.,1,,,,
"WhHor.037","heesnoohoo3einoo3i,",1,,,,
