ref,word,num,dep,label,dep2,label2
"Whip.001",notikoniihiiho',1,,,,
"Whip.001",he'ihnoohobeeno',2,,,,
"Whip.001",woxuu,3,,,,
"Whip.001",tohtiici'eini3.,4,,,,
"Whip.002",hei'iisbiihoot,1,,,,
"Whip.002","hiniin,",2,,,,
"Whip.002",nehe',3,,,,
"Whip.002",wox,4,,,,
"Whip.002",toh'onowunoxuuhetit.,5,,,,
"Whip.003",he'ihnokoh.,1,,,,
"Whip.004",Hiniin,1,,,,
"Whip.004",he'ne'nii'koxo'kohei'ini3.,2,,,,
"Whip.005",hei'e'inoneit,1,,,,
"Whip.005","he'ih3ii'oob,",2,,,,
"Whip.005",koxo'hoseitiseeni3.,3,,,,
"Whip.006",hei'e'inoneit,1,,,,
"Whip.006",tihnosoutiici'eit,2,,,,
"Whip.006","hiniin,",3,,,,
"Whip.006",ceese',4,,,,
"Whip.006",wox,5,,,,
"Whip.006",he'ih'iibineebise'ein,6,,,,
"Whip.006",neeyeici'.,7,,,,
"Whip.007",nehe',1,,,,
"Whip.007",hiniisit,2,,,,
"Whip.007",wox,3,,,,
"Whip.007","hei'ceniikoohut,",4,,,,
"Whip.007",he'ne'wonouxoneit,5,,,,
"Whip.007",ceexoon.,6,,,,
"Whip.008",beeyoo,1,,,,
"Whip.008",he'ihxouuce3koohuno',2,,,,
"Whip.008",boone'.,3,,,,
"Whip.009","hei'ceniikoohu3i',",1,,,,
"Whip.009",nehe',2,,,,
"Whip.009",hiiniinit,3,,,,
"Whip.009",wox,4,,,,
"Whip.009",he'ne'owoto'oot.,5,,,,
"Whip.010",xonouu,1,,,,
"Whip.010",he'ihnoonotnoohobee,2,,,,
"Whip.010",hiniin.,3,,,,
"Whip.011","tohciinoohowoot,",1,,,,
"Whip.011",kookiyon,2,,,,
"Whip.011",he'ihkookou'einet.,3,,,,
"Whip.012",neeneeyeito',1,,,,
"Whip.013","hei'iisbi'nowuhoot,",1,,,,
"Whip.013",bee[n]he[h]e',2,,,,
"Whip.013",3ooku3eit,3,,,,
"Whip.013",beeyoo.,4,,,,
