ref,word,num,dep,label,dep2,label2
"Xmas.001",S,1,,,,
"Xmas.001",Nii'ooke'!,2,,,,
"Xmas.002",M,1,,,,
"Xmas.002","'ii,",2,,,,
"Xmas.002",tous,3,,,,
"Xmas.002",nei!,4,,,,
"Xmas.003",F,1,,,,
"Xmas.003","yeh,",2,,,,
"Xmas.003","hee,",3,,,,
"Xmas.003",wouukohei!,4,,,,
"Xmas.004",M,1,,,,
"Xmas.004",heitousoo?,2,,,,
"Xmas.005",S,1,,,,
"Xmas.005",Noo'xotone3enee,2,,,,
"Xmas.005",hotoonou3ooninoo.,3,,,,
"Xmas.006 ",M,1,,,,
"Xmas.006 ","'ii,",2,,,,
"Xmas.006 ",hohou!,3,,,,
"Xmas.007",Biixoo3e3en,1,,,,
"Xmas.007",nei!,2,,,,
"Xmas.008",S,1,,,,
"Xmas.008",Noh,2,,,,
"Xmas.008",niixoo,3,,,,
"Xmas.008",biixoo3e3en.,4,,,,
"Xmas.009",F,1,,,,
"Xmas.009","Wohei,",2,,,,
"Xmas.009","ceenoku,",3,,,,
"Xmas.009",cih'oonoo3itooni.,4,,,,
"Xmas.010",S,1,,,,
"Xmas.010",Neihoowno'o3niitobee.,2,,,,
"Xmas.011",M,1,,,,
"Xmas.011",koociicee'iyoon?,2,,,,
"Xmas.012",S,1,,,,
"Xmas.012",Neihoowoe'in,2,,,,
"Xmas.013",F,1,,,,
"Xmas.013","Sooxe,",2,,,,
"Xmas.013",hehwone'inow!,3,,,,
"Xmas.014",S,1,,,,
"Xmas.014","Wohei,",2,,,,
"Xmas.014",sooxe!,3,,,,
"Xmas.015",M,1,,,,
"Xmas.015",Neecisee',2,,,,
