ref,word,num,dep,label,dep2,label2
"un.001",3owo3neniteeno',1,,,,
"un.001",he'ih'oo'eihino'.,2,,,,
"un.002","he'ihceecebiihetino',",1,,,,
"un.002",nuhu',2,,,,
"un.002",hee3ootee',3,,,,
"un.002",niicii.,4,,,,
"un.003",he'nee'ee3ooceitee',1,,,,
"un.003",hinono'eino'.,2,,,,
"un.004",he'ihneeyei3oonootiino'.,1,,,,
"un.005",hoowuniihiihi',1,,,,
"un.005",he'nee'tootii3i',2,,,,
"un.005",ciibeetiinenno'.,3,,,,
"un.006",noh,1,,,,
"un.006",noxuutei',2,,,,
"un.006",he'nee'toh'ootii3i',3,,,,
"un.006",siisiiyoniiteen.,4,,,,
"un.007",heenee'iihi',1,,,,
"un.007",he'ih'oo'eiseeno'.,2,,,,
"un.008",noh,1,,,,
"un.008",he'ih'oonoo3itouhuno',2,,,,
"un.008",honoh'oho'.,3,,,,
"un.009",noh,1,,,,
"un.009",he'ih'iinoonoh'ouubetino'.,2,,,,
"un.010",hei'iiseeneiniito'eibeti3i'.,1,,,,
"un.011","he'ne'eebe3oo'eixootiini',",1,,,,
"un.011",toh'etnonouhti3i'.,2,,,,
"un.012","hee3ei'eso'oo3i',",1,,,,
"un.012","he'ihbeexo'eneihino',",2,,,,
"un.012",toh'etnoononouhti3i'.,3,,,,
"un.013",he'ihbisneyoo'uutoon.,1,,,,
"un.014",totoos,1,,,,
"un.014",tei'yoonoh'o',2,,,,
"un.014",he'ihnii3noononouhtihihno'.,3,,,,
"un.015",he'ih'eebe3kookoxuxootiin,1,,,,
"un.015",ciibeetiinenno'.,2,,,,
"un.016",Noko3e',1,,,,
"un.016",siisiiyoniinenno',2,,,,
"un.016","noob[een]e'einiihi',",3,,,,
"un.016",he'nee'eetoo3i'.,4,,,,
"un.017",Noh,1,,,,
"un.017",hinono'eino',2,,,,
"un.017",hoowuniihiihi',3,,,,
"un.017",nee'eesiseehehkoni'.,4,,,,
"un.018",hei'eyeihcesisoo',1,,,,
"un.018","nonouhtiit,",2,,,,
"un.018",he'ihcihkoo'ouut,3,,,,
"un.018",niisne'iseet,4,,,,
"un.019","he'ihtoyoohootowuu,",1,,,,
"un.019",tohbeetoh'ei'inou'u,2,,,,
"un.019",hee3eecihkoo'ouute'.,3,,,,
"un.020",honoh'oho',1,,,,
"un.020",he'ihyii3ecinooheeno',2,,,,
"un.020",toh'etwonoohoo3ei3i'.,3,,,,
"un.021",hoonii,1,,,,
"un.021",kou3iihi',2,,,,
"un.021",he'ihce'eno'ukoohuno'.,3,,,,
"un.022","wohei,",1,,,,
"un.022","heehehkoni',",2,,,,
"un.022",hineniteeniit,3,,,,
"un.022",ceneikoni'.,4,,,,
"un.023",Wonoo3ee',1,,,,
"un.023",cenihwoneiniitoo'eikoni'.,2,,,,
"un.024",hinee,1,,,,
"un.024",hineniteeno',2,,,,
"un.024",nenei'towuuni3i'.,3,,,,
"un.025",hecoxonoh'oe,1,,,,
"un.025",bee'etee3iiyouhut.,2,,,,
"un.026",noh,1,,,,
"un.026",nii'inouhut;,2,,,,
"un.026",heetno'uuhu3i'.,3,,,,
"un.027",noh,1,,,,
"un.027",heetne'iiniito'eibee3i'.,2,,,,
"un.028",cenihwonnii3noononouhti3i'.,1,,,,
"un.029","wohei,",1,,,,
"un.029",he'ne'ce'nihi'ixootiini'.,2,,,,
"un.030",he'ih'eeneeckoohuno'.,1,,,,
"un.031",wohei,1,,,,
"un.031",he'ne'cihnoooxunootiini',2,,,,
"un.031",hetnoonoh'ouuwoobe,3,,,,
"un.031",nuhu',4,,,,
"un.031",hineniteeno'.,5,,,,
"un.032",noh,1,,,,
"un.032",hetiiniito'eiwoobe.,2,,,,
"un.033",Noh,1,,,,
"un.033",he'nee'eestoo3i',2,,,,
"un.033",hinono'eino'.,3,,,,
"un.034",noh,1,,,,
"un.034",hunee,2,,,,
"un.034",hoo3oo'o',3,,,,
"un.034",he'nee'eestoo3i'.,4,,,,
"un.035","hei'iisiiniito'eiwoo3i',",1,,,,
"un.035","he'ihneeneeceenohoo3eeno',",2,,,,
"un.035",hei'beteee3i'.,3,,,,
"un.036",Noh,1,,,,
"un.036",hunee,2,,,,
"un.036",hoo3oo'o',3,,,,
"un.036",he'nee'eestoo3i'.,4,,,,
"un.037",hoonii,1,,,,
"un.037",kou3iihi',2,,,,
"un.037",he'ihciinohwootiin.,3,,,,
"un.038",he'ih'eeneeckoohuno'.,1,,,,
"un.039",Wohei,1,,,,
"un.039","nooke'ehk,",2,,,,
"un.039",hetcihneeneyoo'uube.,3,,,,
"un.040",heetne'cesisoo',1,,,,
"un.040",nonouhtiit.,2,,,,
"un.041","wohei,",1,,,,
"un.041","hei'nooke',",2,,,,
"un.041",he'ihbisneyoo'uutoon.,3,,,,
"un.042",Noh,1,,,,
"un.042",he'ihce'oo'eixootiin.,2,,,,
"un.043",Noh,1,,,,
"un.043",nuhu',2,,,,
"un.043",wonoono'uuhu3i',3,,,,
"un.043",he'ih'eneesinouhuno'.,4,,,,
"un.044",hi'iihi',1,,,,
"un.044","hinii3e'eeninoo,",2,,,,
"un.044",tohbee'etee3iiyouhu3i'.,3,,,,
"un.045",he'ihbiite'eihino'.,1,,,,
"un.046",Noh,1,,,,
"un.046",nehe',2,,,,
"un.046",honoh'oe,3,,,,
"un.046",he'ih-biite'noo3inou.***,4,,,,
"un.047",noh,1,,,,
"un.047",he'ih-noh'ei.***,2,,,,
"un.048",he'ne'cesisoo',1,,,,
"un.048",nonouhtiit.,2,,,,
"un.049","he'iiskookoxuxootiini',",1,,,,
"un.049",nehe',2,,,,
