ref,word,num,dep,label,dep2,label2
"visit.001",A,1,,,,
"visit.001","Yeh,",2,,,,
"visit.001",teebe,3,,,,
"visit.001",hei'ce'noohobeen.,4,,,,
"visit.002",B,1,,,,
"visit.002","hee,",2,,,,
"visit.002",heeyeihno'ceiteen.,3,,,,
"visit.003",B,1,,,,
"visit.003","ceenoku,",2,,,,
"visit.003",heetbebiyein.,3,,,,
"visit.004",A,1,,,,
"visit.004",wohei,2,,,,
"visit.004",siinenee'.,3,,,,
"visit.005",B,1,,,,
"visit.005",Keitonoun,2,,,,
"visit.005",niisiscoo'?,3,,,,
"visit.006",B,1,,,,
"visit.006",Keinookoowtoo?,2,,,,
"visit.007",A,1,,,,
"visit.007",koun,2,,,,
"visit.007",niisiscoo'.,3,,,,
"visit.008",B,1,,,,
"visit.008",Wohei,2,,,,
"visit.008",cih'oonoo3itooni.,3,,,,
"visit.009",A,1,,,,
"visit.009",Neihoowno'o3niitobee.,2,,,,
