ref|word|num|dep|label|dep2|label2
BadDr.001|wohei|1||||
BadDr.001|teecxo'|2||||
BadDr.001|nono'eino'|3||||
BadDr.001|tih'ii'eeneiniihi3i',|4||||
BadDr.001|niiciihehe'|5||||
BadDr.001|heenehko'ose'|6||||
BadDr.001|nih'iiP|7||||
BadDr.001|he'ih'iiniiniiino'.|8||||
BadDr.002|wohei|1||||
BadDr.002|he'ih'iiwo'wuuhuno'.|2||||
BadDr.003|3oo3ookutiino'|1||||
BadDr.003|nuh'uu[no]|2||||
BadDr.003|nih'iiteeneine'etii3i'.|3||||
BadDr.004|he'ih'iihiisoho'uusiihi'.|1||||
BadDr.005|beh'eihoho',|1||||
BadDr.005|beh'eihoho'|2||||
BadDr.005|he'ihneenino'|3||||
BadDr.005|nih'iiP|4||||
BadDr.005|he'ihnei'inou'u[sic]|5||||
BadDr.005|heenei'isiihi',|6||||
BadDr.005|heeneescebiseenoo'|7||||
BadDr.005|huune'etiit.|8||||
BadDr.006|hiine'etiit|1||||
BadDr.006|wootii|2||||
BadDr.006|...|3||||
BadDr.007|hini'iit|1||||
BadDr.007|...|2||||
BadDr.008|tih'iiP|1||||
BadDr.008|heeneesoo'|2||||
BadDr.008|hetne'inoneihiinoo',|3||||
BadDr.008|hinenitee|4||||
BadDr.008|hetne'ino'|5||||
BadDr.008|hii3iihi'|6||||
BadDr.008|heeyouhuu|7||||
BadDr.008|heni'iine'etiitooni'.|8||||
BadDr.009|hetne'inoneihiinoo'|1||||
BadDr.009|toonheesou'u.|2||||
BadDr.010|toonniistootiini',|1||||
BadDr.010|wo'ei3|2||||
BadDr.010|toonniisP|3||||
BadDr.011|wootii|1||||
BadDr.011|hi3oowotoneihiinoo',|2||||
BadDr.011|3owo3neniteeniini|3||||
BadDr.011|hooxuwuutono,|4||||
BadDr.011|hi'in|5||||
BadDr.011|neneenei'i|6||||
BadDr.011|nihi'iinohkuune'etiiehkoni'|7||||
BadDr.011|niine'eeno'|8||||
BadDr.011|nuhu'|9||||
BadDr.011|nono'eino'|10||||
BadDr.011|tih'iiP|11||||
BadDr.011|hiisoho'uusiihi'.|12||||
BadDr.012|he'ih'iibeteesibino'.|1||||
BadDr.013|no'o'|1||||
BadDr.013|he'ih'iinoonokooyeino'.|2||||
BadDr.014|he'ih'iinoonokooyeino'.|1||||
BadDr.015|no'o'|1||||
BadDr.015|he'ih'iicisiiisi'i,|2||||
BadDr.015|yeiniiis|3||||
BadDr.015|wo'ei3|4||||
BadDr.015|niisootox;|5||||
BadDr.016|niisootoxuuusi'i|1||||
BadDr.016|he'ih'iinokooyeino'.|2||||
BadDr.017|he'ne'nee'eeneitenowoo3i'|1||||
BadDr.017|hiisoho'.|2||||
BadDr.018|niiyou|1||||
BadDr.018|nuhu'|2||||
BadDr.018|hoonooxuwuut|3||||
