ref|word|num|dep|label|dep2|label2
CrowCh(o).001|hinen|1||||
CrowCh(o).001|noh|2||||
CrowCh(o).001|hiih'o|3||||
CrowCh(o).001|he'inniisneniino'.|4||||
CrowCh(o).002|he'ihbiibixoo3ee|1||||
CrowCh(o).002|hiih'o.|2||||
CrowCh(o).003|he'ihbi'niis.|1||||
CrowCh(o).004|hoowbeexookeihin.|1||||
CrowCh(o).005|he'ih'itonih'in;|1||||
CrowCh(o).005|woxhooxebiho'|2||||
CrowCh(o).005|heeteniihoot.|3||||
CrowCh(o).006|hoonoxowoot,|1||||
CrowCh(o).006|beebenohooxobei|2||||
CrowCh(o).006|heenei'isiihi'.|3||||
CrowCh(o).007|he'ih'iitoukuhun.|1||||
CrowCh(o).008|'oh|1||||
CrowCh(o).008|huut|2||||
CrowCh(o).008|nookoo3|3||||
CrowCh(o).008|he'ih'ootiino'|4||||
CrowCh(o).008|houuno'.|5||||
CrowCh(o).009|houuneniteeno'|1||||
CrowCh(o).009|he'ih'ootiino'.|2||||
CrowCh(o).010|'oh|1||||
CrowCh(o).010|nehe'|2||||
CrowCh(o).010|neecee,|3||||
CrowCh(o).010|houunen,|4||||
CrowCh(o).010|he'ihneen|5||||
CrowCh(o).010|honootii3i'.|6||||
CrowCh(o).011|wohei|1||||
CrowCh(o).011|hini'|2||||
CrowCh(o).011|honoh'oehi'|3||||
CrowCh(o).011|hitoniho'|4||||
CrowCh(o).011|he'ih'iicihnoo3ee.|5||||
CrowCh(o).012|he'ih'iice3i3e'eici3ee|1||||
CrowCh(o).012|hi'in|2||||
CrowCh(o).012|heetootiit.|3||||
CrowCh(o).013|'oh|1||||
CrowCh(o).013|nehe'|2||||
CrowCh(o).013|honoh'oe|3||||
CrowCh(o).013|he'ih'iice'noo3ee|4||||
CrowCh(o).013|hitoniho',|5||||
CrowCh(o).013|ce'no'xohoe.|6||||
CrowCh(o).014|kooxnehe'|1||||
CrowCh(o).014|houuneecee|2||||
CrowCh(o).014|he'ih'iice'noo3ee,|3||||
CrowCh(o).014|ce'ce3i3e'eici3ee.|4||||
CrowCh(o).015|honoh'oehi'|1||||
CrowCh(o).015|ce'no'koohuuhee.|2||||
CrowCh(o).016|he'ihciisibihee|1||||
CrowCh(o).016|nehe'|2||||
CrowCh(o).016|houuneecee.|3||||
CrowCh(o).017|“yeh,|1||||
CrowCh(o).017|heh3iikoniin.|2||||
CrowCh(o).018|nehe'|1||||
CrowCh(o).018|honoh'oe|2||||
CrowCh(o).018|nihP|3||||
CrowCh(o).018|ci'cihnoo3oot|4||||
CrowCh(o).018|hitoniho'.”|5||||
CrowCh(o).019|heihii|1||||
CrowCh(o).019|he'ihneen|2||||
CrowCh(o).019|hiitonih'it.|3||||
CrowCh(o).020|'oh|1||||
CrowCh(o).020|hi'in|2||||
CrowCh(o).020|honoh'oe|3||||
CrowCh(o).020|hitoniho'|4||||
CrowCh(o).020|kooxhe'ihce'noo3ee.|5||||
CrowCh(o).021|ne'ehce'xohoot|1||||
CrowCh(o).021|nehe'|2||||
CrowCh(o).021|honoh'oe.|3||||
CrowCh(o).022|ne'ce'no'koohuuhoot.|1||||
CrowCh(o).023|“hee,|1||||
CrowCh(o).023|wottowusoo.|2||||
CrowCh(o).024|heetxouubeno'.”|1||||
CrowCh(o).025|hiten|1||||
CrowCh(o).025|kokuy.|2||||
CrowCh(o).026|he'ihcebii|1||||
CrowCh(o).026|hi'in|2||||
CrowCh(o).026|honoh'oehihi'.|3||||
CrowCh(o).027|he'ihneh'ee.|1||||
CrowCh(o).028|'oh|1||||
CrowCh(o).028|nehe'|2||||
CrowCh(o).028|hinen,|3||||
CrowCh(o).028|noh|4||||
CrowCh(o).028|hiiyohou'uni'|5||||
CrowCh(o).028|heestoot.|6||||
CrowCh(o).029|nono'oteiht|1||||
CrowCh(o).029|hini'iit|2||||
CrowCh(o).029|houunen|3||||
CrowCh(o).029|neecee,|4||||
