ref|word|num|dep|label|dep2|label2
FoolGh(o).001|wohei|1||||
FoolGh(o).001|nehe'|2||||
FoolGh(o).001|hinen|3||||
FoolGh(o).001|he'ihceitee.|4||||
FoolGh(o).002|hiit|1||||
FoolGh(o).002|he'iitneenini'i,|2||||
FoolGh(o).002|hei'3oontece'iinini',|3||||
FoolGh(o).002|he'ne'ce'eeckoohut|4||||
FoolGh(o).002|boone'.|5||||
FoolGh(o).003|he'ihcoo.|1||||
FoolGh(o).004|he'ihbeexnoh'uuseiyoo,|1||||
FoolGh(o).004|'oh|2||||
FoolGh(o).004|heniinoono'eti'.|3||||
FoolGh(o).005|hoowuu[ni]|1||||
FoolGh(o).005|hee3neetesnoh'uuseiyoo;|2||||
FoolGh(o).006|he'ihbeexbih'inoo'oo.|1||||
FoolGh(o).007|hiinoono'eti'i;|1||||
FoolGh(o).008|he'ihkotous|1||||
FoolGh(o).008|hi'in,|2||||
FoolGh(o).008|hinee|3||||
FoolGh(o).008|biikousiis.|4||||
FoolGh(o).009|he'ne'nii'beexbih'inooyoti'.|1||||
FoolGh(o).010|he'ihcoo|1||||
FoolGh(o).010|boone'.|2||||
FoolGh(o).011|heecisiseet,|1||||
FoolGh(o).011|'oh|2||||
FoolGh(o).011|he'ih3ooxuun,|3||||
FoolGh(o).011|'oh|4||||
FoolGh(o).011|he'iiteihi3i|5||||
FoolGh(o).011|he'ihcihto3ihe'.|6||||
FoolGh(o).012|cenihto3iheit.|1||||
FoolGh(o).013|“yeh,|1||||
FoolGh(o).013|cenihto3iheenoo|2||||
FoolGh(o).013|he'iiteihi3i,”|3||||
FoolGh(o).014|'oh|1||||
FoolGh(o).014|he'ih'ii'eeP;|2||||
FoolGh(o).015|'oh|1||||
FoolGh(o).015|he'ih'ii'eewoteisee|2||||
FoolGh(o).015|nehe'|3||||
FoolGh(o).015|hinen.|4||||
FoolGh(o).016|woow|1||||
FoolGh(o).016|beneebee3oowobeet.|2||||
FoolGh(o).017|ho3es|1||||
FoolGh(o).017|kooseinoonini'i|2||||
FoolGh(o).017|nuhu'|3||||
FoolGh(o).017|hiwo'ohno|4||||
FoolGh(o).017|tohuuciiyei'it.|5||||
FoolGh(o).018|wohei|1||||
FoolGh(o).018|ne'cihto3iheit.|2||||
FoolGh(o).019|'oh|1||||
FoolGh(o).019|nohci'cenih['ii]'eewoteiseeni3.|2||||
FoolGh(o).020|wohei|1||||
FoolGh(o).020|ne'too'useet;|2||||
FoolGh(o).021|'oh|1||||
FoolGh(o).021|ci'he'ih'iitoo'useen.|2||||
FoolGh(o).022|he'ne'ce'ce3ei'oot;|1||||
FoolGh(o).023|kooxhe'ih'iice'woteiseen.|1||||
FoolGh(o).024|“yeh,|1||||
FoolGh(o).024|cenihto3iheenoo|2||||
