ref|word|num|dep|label|dep2|label2
G6Bro.001|hiseihihi'|1||||
G6Bro.001|noh|2||||
G6Bro.001|huusoh'oho.|3||||
G6Bro.002|nuhu'|1||||
G6Bro.002|neniteeno'|2||||
G6Bro.002|heenoo|3||||
G6Bro.002|too3iihi'|4||||
G6Bro.002|niiciihehe'|5||||
G6Bro.002|tih'eeneine'etiihohkoni'.|6||||
G6Bro.003|hinenno'|1||||
G6Bro.003|he'ihsiiyotiko[ni]no'.|2||||
G6Bro.004|hiseino'|1||||
G6Bro.004|noh|2||||
G6Bro.004|tei'yoonoh'o'|3||||
G6Bro.004|noh|4||||
G6Bro.004|beesneniteeno',|5||||
G6Bro.004|he'ihneenino'|6||||
G6Bro.004|nihnee3o'oo3i'.|7||||
G6Bro.005|tei'yoonoh'o'|1||||
G6Bro.005|he'ih'iiwoowoxuuwoohuno'|2||||
G6Bro.005|heetoh3i'ookuunei'i|3||||
G6Bro.005|biino.|4||||
G6Bro.006|ceese'|1||||
G6Bro.006|hiseihihi'|2||||
G6Bro.006|he'ihneen|3||||
G6Bro.006|hineneeswoxuunit.|4||||
G6Bro.007|he'ih'iinoutii|1||||
G6Bro.007|biino.|2||||
G6Bro.008|he'ne'hi'ee3neewoxuunoo'oot.|1||||
G6Bro.009|tei'yoonoh'o'|1||||
G6Bro.009|he'ihtokohuno'.|2||||
G6Bro.010|tei'yoonoh'o'|1||||
G6Bro.010|he'ih'oonookoo3tokohuno'.|2||||
G6Bro.011|woxuu|1||||
G6Bro.011|he'ihyeihone'.|2||||
G6Bro.012|ceese'|1||||
G6Bro.012|hiseihihi'|2||||
G6Bro.012|he'ih'iisiitene'.|3||||
G6Bro.013|He'ihneenin|1||||
G6Bro.013|hinoohowoho'|2||||
G6Bro.013|nehe'|3||||
G6Bro.013|wox.|4||||
G6Bro.014|he'ihtotkuu3ee|1||||
G6Bro.014|hikooowun.|2||||
G6Bro.015|nuhu'|1||||
G6Bro.015|neniteeno'|2||||
G6Bro.015|he'ihwoti'tokohuno'.|3||||
G6Bro.016|beebeet|1||||
G6Bro.016|nehe'|2||||
G6Bro.016|hiseihihi'|3||||
G6Bro.016|noh|4||||
G6Bro.016|wox|5||||
G6Bro.016|he'ih'entoono'.|6||||
G6Bro.017|wohei|1||||
G6Bro.017|nehe'|2||||
G6Bro.017|wox,|3||||
G6Bro.017|''cihnookohoeni!''|4||||
G6Bro.017|hee3oohok|5||||
G6Bro.017|nuhu'|6||||
G6Bro.017|huseihiho.|7||||
G6Bro.018|wohei|1||||
G6Bro.018|nehe'|2||||
G6Bro.018|hiseihihi'|3||||
G6Bro.018|he'ihnookohoe.|4||||
G6Bro.019|he'ihno'ookohoe.|1||||
G6Bro.020|nehe'|1||||
G6Bro.020|wox|2||||
G6Bro.020|he'ihnoohoot|3||||
G6Bro.020|nuhu'|4||||
G6Bro.020|nec.|5||||
G6Bro.021|''hoowuneeni|1||||
G6Bro.021|neibeneet,''|2||||
G6Bro.021|heehehk|3||||
G6Bro.021|nehe'|4||||
G6Bro.021|wox.|5||||
G6Bro.022|''ce'inookohoe,''|1||||
G6Bro.022|hee3oohok|2||||
G6Bro.022|nuhu'|3||||
G6Bro.022|huseihiho.|4||||
G6Bro.023|nehe'|1||||
G6Bro.023|hiseihihi'|2||||
G6Bro.023|he'ihce'inookohoe.|3||||
