ref|word|num|dep|label|dep2|label2
GhRd.001|teecxo'|1||||
GhRd.001|hinee|2||||
GhRd.001|biiteino',|3||||
GhRd.001|wo'ei3|4||||
GhRd.001|heenei'isiihi',|5||||
GhRd.001|tih'eenentoo3i'.|6||||
GhRd.002|wohei|1||||
GhRd.002|ne'nih'iisiisehtonihoot|2||||
GhRd.002|biitein|3||||
GhRd.002|nehe'|4||||
GhRd.002|hinen.|5||||
GhRd.003|cih'oowuniihiseehok,|1||||
GhRd.003|he'ne'ee'ino'|2||||
GhRd.003|tihto3iheit|3||||
GhRd.003|he'iiteihini3.|4||||
GhRd.004|he'ih'iiceene'ein,|1||||
GhRd.004|hinee|2||||
GhRd.004|ceene'einit.|3||||
GhRd.005|noonotnoohobee,|1||||
GhRd.005|he'ihciinoohobee.|2||||
GhRd.006|wohei|1||||
GhRd.006|he'ihcih'ii'eewoteiseen.|2||||
GhRd.007|he'ne'ii'P|1||||
GhRd.007|hei'too'usee3i,|2||||
GhRd.007|he'ih'iitoo'useen.|3||||
GhRd.008|wohei|1||||
GhRd.008|cee'ce3ei'oo3i,|2||||
GhRd.008|he'ih'iicihce'woteiseen.|3||||
GhRd.009|heenoo|1||||
GhRd.009|he'ihcihto3ihe'.|2||||
GhRd.010|wohei|1||||
GhRd.010|hiit|2||||
GhRd.010|he'iicxooyeiniihi',|3||||
GhRd.010|he'ne'ii'ko'xootowoot.|4||||
GhRd.011|he'ih'iiko'xootowoon.|1||||
GhRd.012|he'ne'nii'koe'sohoe'et,|1||||
GhRd.012|'oh|2||||
GhRd.012|he'ih'iikoe'sohoen.|3||||
GhRd.013|he'ihceitee|1||||
GhRd.013|hinit;|2||||
GhRd.014|he'iitneenini'i|1||||
GhRd.014|noxuutei'|2||||
GhRd.014|tohcih'eeckoohut;|3||||
GhRd.015|'oh|1||||
GhRd.015|biih'iyooni'.|2||||
GhRd.016|wohei|1||||
GhRd.016|hinee|2||||
GhRd.016|heetohboobo'ouute',|3||||
GhRd.016|wohei|4||||
GhRd.016|hinee|5||||
GhRd.016|ni'ec,|6||||
GhRd.016|wohei|7||||
GhRd.016|hinit|8||||
GhRd.016|hooxuu3iiw;|9||||
GhRd.017|bebene|1||||
GhRd.017|3oo3ooniihi'|2||||
GhRd.017|he'ihcihnee'ei'isee.|3||||
GhRd.018|noh|1||||
GhRd.018|beebei'on|2||||
GhRd.018|no'o'|3||||
GhRd.018|he'ihkohtobetouuh|4||||
GhRd.018|he'iiteihi3i.|5||||
GhRd.019|heeyowniitouuhu3i,|1||||
GhRd.019|he'ihcihwo'owtoo3iini.|2||||
GhRd.020|'oh|1||||
GhRd.020|woow|2||||
GhRd.020|nehe'|3||||
GhRd.020|hinen|4||||
GhRd.020|he'ihnoxowuuni|5||||
GhRd.020|tootiseet|6||||
GhRd.020|hini'|7||||
GhRd.020|hooxuu3iiw.|8||||
GhRd.021|heihii|1||||
GhRd.021|he'ihcihtoo3iini,|2||||
GhRd.021|heetitooxniitouuhut.|3||||
GhRd.022|bebene|1||||
GhRd.022|hooxuu3iiw,|2||||
GhRd.022|ne'wooniitonoot.|3||||
GhRd.023|ne'ehno'useet|1||||
GhRd.023|hi'in|2||||
GhRd.023|hooxuu3iiw.|3||||
GhRd.024|'oh|1||||
