ref|word|num|dep|label|dep2|label2
Hor.001|Cenih'iisiii'oonoo|1||||
Hor.001|nebesiiwoho'|2||||
Hor.001|nihniiih'oh'u3i',|3||||
Hor.001|noh|4||||
Hor.001|nei'eibehe'.|5||||
Hor.002|Ne'e'inootinoo|1||||
Hor.002|nuhu'|2||||
Hor.002|tohuuP|3||||
Hor.002|nei'eibehe'|4||||
Hor.002|noh|5||||
Hor.002|nebesiibehe'|6||||
Hor.002|tihnee3i'|7||||
Hor.002|tihniiih'oh'u3i'.|8||||
Hor.003|Ne'P|1||||
Hor.003|nee'ee'okeciihihinoo|2||||
Hor.003|kookon|3||||
Hor.003|neh'eeno|4||||
Hor.003|nihP|5||||
Hor.003|neihceniisoo3eiit|6||||
Hor.003|neih'oowuunci3e'.|7||||
Hor.004|neih'oowuuniiih'oh'e'.|1||||
Hor.005|neih'oowni'eenebe'.|1||||
Hor.006|Nuhu'|1||||
Hor.006|nei'eibehe'|2||||
Hor.006|neneenit|3||||
Hor.006|nih'iteneit,|4||||
Hor.006|noh|5||||
Hor.006|nehe'|6||||
Hor.006|nebesiibehe'.|7||||
Hor.007|'oh|1||||
Hor.007|nuhu'|2||||
Hor.007|nebesiiwoho'|3||||
Hor.007|nih'iico'onbiibiini3i'|4||||
Hor.007|heeyouhuu.|5||||
Hor.008|Woxhooxebii|1||||
Hor.008|hiit|2||||
Hor.008|nihbeexowuwu3i'.|3||||
Hor.009|They|1||||
Hor.009|don't|2||||
Hor.009|use|3||||
Hor.009|that|4||||
Hor.009|word|5||||
Hor.009|â€''|6||||
Hor.009|beexow.|7||||
Hor.010|Nihbeexowuwu3i'|1||||
Hor.010|woxhooxebii,|2||||
Hor.010|He'iiP|3||||
Hor.010|He'iisnii3nowoonoo3i|4||||
Hor.010|[hi]|5||||
Hor.010|tookowuuho'.*****|6||||
Hor.011|''Wo'teenii'ehisei''|1||||
Hor.011|nih'iisi3i'|2||||
Hor.011|neneeninoo.|3||||
Hor.012|noh|1||||
Hor.012|nihbiini3i'.|2||||
Hor.013|nihbixooxu3i'.|1||||
Hor.014|Noh|1||||
Hor.014|nuhu'|2||||
Hor.014|honoot|3||||
Hor.014|ciineyei3einoo|4||||
Hor.014|woow|5||||
Hor.014|nooxeihi'|6||||
Hor.014|neneescecnibeenoo|7||||
Hor.014|wo'ei3|8||||
Hor.014|he'yein|9||||
Hor.014|nih'iiteexokunoo|10||||
Hor.014|woxhooxebii.|11||||
Hor.015|Nebesiibehe'|1||||
Hor.015|nihnii3inouhut|2||||
Hor.015|nihnookeihit.|3||||
Hor.016|''Nookbih'ihoox''|1||||
Hor.016|nih'ii3oot|2||||
Hor.016|hitoniho'.|3||||
Hor.017|Noh|1||||
Hor.017|neneenit|2||||
Hor.017|neih'iiniikoheiit,|3||||
Hor.017|hi'in|4||||
Hor.017|nookbih'ihoox.|5||||
Hor.018|Noh|1||||
Hor.018|nosounokecii'iseihinoo|2||||
Hor.018|'oh|3||||
Hor.018|heenoo|4||||
Hor.018|niicihni'eenowou'u|5||||
Hor.018|woxhooxebii.|6||||
Hor.019|Noh|1||||
Hor.019|teeco'onitonih'inoo|2||||
Hor.019|woxhooxebii.|3||||
