ref|word|num|dep|label|dep2|label2
JGGh2.001|wohei|1||||
JGGh2.001|nuh'uuno|2||||
JGGh2.001|nii-nihiitono,|3||||
JGGh2.001|neene'eehek|4||||
JGGh2.001|hinee|5||||
JGGh2.001|nono'ei:|6||||
JGGh2.002|hiine'etiitooni'|1||||
JGGh2.003|cenehyoo',|1||||
JGGh2.003|cenehyoo'.|2||||
JGGh2.004|'oh|1||||
JGGh2.004|siiwono'oh;|2||||
JGGh2.005|woohoniini.|1||||
JGGh2.006|howoo|1||||
JGGh2.006|nuhu'|2||||
JGGh2.006|hoonoo3itoono,|3||||
JGGh2.006|wonoo3ee'|4||||
JGGh2.006|hoo3itoo|5||||
JGGh2.006|niinihoo(?)***|6||||
JGGh2.006|hinee|7||||
JGGh2.006|ko3einiihi'.|8||||
JGGh2.007|howoo|1||||
JGGh2.007|huuwoonhehe'|2||||
JGGh2.007|niitootoyou'uuwuutooni'.|3||||
JGGh2.008|noh|1||||
JGGh2.008|nuhu'|2||||
JGGh2.008|niiceecebii'ou'u|3||||
JGGh2.008|hoo3itoono.|4||||
JGGh2.009|hoonoo3itootiini'.|1||||
JGGh2.010|ceeceh'e3tiitooni'|1||||
JGGh2.010|heenei'isiihi'.|2||||
JGGh2.011|wohei|1||||
JGGh2.011|niiyou|2||||
JGGh2.011|nuhu'|3||||
JGGh2.011|neniiseti';|4||||
JGGh2.012|too'eihi'.|1||||
JGGh2.013|nuhu'|1||||
JGGh2.013|heetiine'etiino',|2||||
JGGh2.013|neeyou|3||||
JGGh2.013|hinee|4||||
JGGh2.013|Ethete,|5||||
JGGh2.013|noh|6||||
JGGh2.013|nee'eesiini|7||||
JGGh2.013|hiine'etiit|8||||
JGGh2.013|hinenitee.|9||||
JGGh2.014|noh|1||||
JGGh2.014|huut|2||||
JGGh2.014|cih'oowuniihiihi'|3||||
JGGh2.014|hinono'ei',|4||||
JGGh2.014|wono'oh***|5||||
JGGh2.014|benih'iyou'u|6||||
JGGh2.014|niicebiihetiitooni'.|7||||
JGGh2.015|heeyowbih'iyou'u|1||||
JGGh2.015|niico'oncebiiheti3i'.|2||||
JGGh2.016|nee'eeneesP,|1||||
JGGh2.016|ne'nih'iisoo'.|2||||
JGGh2.017|wohei|1||||
JGGh2.017|kooxhe'ne'nih'iisiini,|2||||
JGGh2.018|nehe'|1||||
JGGh2.018|nenitee|2||||
JGGh2.018|nih'iicebiihineet.|3||||
JGGh2.019|niiceecebiihineet|1||||
JGGh2.019|heeyowuuhu'.|2||||
JGGh2.020|wohei|1||||
JGGh2.020|ceesey|2||||
JGGh2.020|ne'icihP|3||||
JGGh2.020|cihconP|4||||
JGGh2.020|ce'icebiihinee[t].|5||||
JGGh2.021|heenoo|1||||
JGGh2.021|niitcebiihineet,|2||||
JGGh2.021|niiteco'on[iini],|3||||
JGGh2.021|niiceikoohut.|4||||
JGGh2.022|cih'oowuniihkoohut,|1||||
JGGh2.023|'oh|1||||
JGGh2.023|he'ih'ooyei,|2||||
JGGh2.024|wo'ei3|1||||
JGGh2.024|he'iisiini,|2||||
JGGh2.024|'oh|3||||
JGGh2.024|wo'uuceh|4||||
JGGh2.024|he'ih'ooyei.|5||||
JGGh2.025|'oh|1||||
JGGh2.025|ne'nih'ii3eeniini|2||||
JGGh2.025|cebiihineet.|3||||
JGGh2.026|wohei|1||||
JGGh2.026|he'ihnee'eesiini,|2||||
JGGh2.027|'oh|1||||
JGGh2.027|cebiihinee,|2||||
JGGh2.028|ne'ciintootiini'.|1||||
JGGh2.029|ciincebiihetiitooni'.|1||||
JGGh2.030|ce'eeneeckoohuutooni'.|1||||
JGGh2.031|noh|1||||
JGGh2.031|niixoo|2||||
JGGh2.031|he'ne'ce'eeckoohut|3||||
JGGh2.031|3ebiihi'.|4||||
JGGh2.032|wohei|1||||
JGGh2.032|hinee|2||||
JGGh2.032|3ebiihi'|3||||
JGGh2.032|hii3koo|4||||
JGGh2.032|hee3ootee'|5||||
JGGh2.032|“seventeen|6||||
JGGh2.032|mile|7||||
JGGh2.032|crossing”|8||||
JGGh2.032|bridge.|9||||
JGGh2.033|he'ih3ebneeheyeikoo|1||||
JGGh2.033|hinee|2||||
JGGh2.033|hooxuu3iiw|3||||
JGGh2.033|seventeen|4||||
JGGh2.033|mile|5||||
JGGh2.033|bridge.|6||||
JGGh2.034|nuhu'|1||||
JGGh2.034|heet3i'okut|2||||
JGGh2.034|niiniihencebkoohut,|3||||
JGGh2.034|wootii|4||||
JGGh2.034|hineniteen|5||||
JGGh2.034|he'ih'iicihP|6||||
JGGh2.034|he'ih'iicihwo'bene'.|7||||
JGGh2.035|heihii|1||||
JGGh2.035|he'ihnoxowooxuto'one'|2||||
JGGh2.035|hini'iit|3||||
JGGh2.035|ko'eino'ohtoo|4||||
JGGh2.035|ni'iinoo'eiyootiini'|5||||
JGGh2.035|nehe'|6||||
JGGh2.035|niiniihencebkoohut.|7||||
JGGh2.036|Noh|1||||
JGGh2.036|he'ih'iice'oseitenet.|2||||
JGGh2.037|'oh|1||||
JGGh2.037|he'ih'iiP|2||||
JGGh2.037|he'ihtei'P…|3||||
JGGh2.038|he'ih'iicooniini.|1||||
JGGh2.039|heihii|1||||
JGGh2.039|he'ih'iitesnei'ooxuto'one'|2||||
JGGh2.039|hini'iit|3||||
JGGh2.039|ko'eino'ohtoo.|4||||
JGGh2.040|'oh|1||||
JGGh2.040|ne'nii'ce'ciineneit.|2||||
JGGh2.041|ne'nii'osei3ceenok.|1||||
