ref|word|num|dep|label|dep2|label2
K44.001|Niisootoxuseino'|1||||
K44.001|ce3ei'oono'.|2||||
K44.002|notiitii3i'|1||||
K44.002|biito'owu'.|2||||
K44.003|he'ihbeh'iniinooxuno'|1||||
K44.003|hitonounooninoo.|2||||
K44.004|'oh|1||||
K44.004|he'eteiyohkoni'.|2||||
K44.005|Tohnookenini',|1||||
K44.005|ceese'|2||||
K44.005|he'ih'iiyohoot.|3||||
K44.006|“Ceniixootee'|1||||
K44.006|niiciseeno',|2||||
K44.006|nih'oo3ii3o'|3||||
K44.006|neehebehe'.|4||||
K44.007|nehnee3o'oo,|1||||
K44.007|neibeexuu3e',”|2||||
K44.007|heehehk|3||||
K44.007|nehe'|4||||
K44.007|beneesesei[t].|5||||
K44.008|Kooxhe'ihce3ei'oono'.|1||||
K44.009|He'ih'eteinino'.|1||||
K44.010|Kooxtohnookenini',|1||||
K44.010|ceese'|2||||
K44.010|he'ih'iiyohoot,|3||||
K44.010|nohkuuhu'|4||||
K44.010|hitonounono.|5||||
K44.011|“Noohowohoo|1||||
K44.011|nono3heihnee3ooxuwu.”|2||||
K44.012|Kooxhe'ihce3ei'oono'.|1||||
K44.013|Cih'iitiseehohkoni'|1||||
K44.013|hiisiihi',|2||||
K44.013|tih'i3ou'oo'|3||||
K44.013|he'ihceenokuno'.|4||||
K44.014|Tih'iisibiibii3ihi3i',|1||||
K44.014|cenibih'iyooni',|2||||
K44.014|he'ne'nii'iisibi3i'.|3||||
K44.015|Tohnohkuseiciinini',|1||||
K44.015|ceese'|2||||
K44.015|he'ih'iiyohoot.|3||||
K44.016|“Tei'yoon,|1||||
K44.016|hookoh|2||||
K44.016|nono3heihciiniiseineeb,”|3||||
K44.016|heehehk|4||||
K44.016|beneeseseit.|5||||
K44.017|He'ihce3ei'oono'.|1||||
K44.017|benikotiihohkoni';|2||||
K44.018|yeinino'.|1||||
K44.019|Kooxhe'ih'eteinino'.|1||||
K44.020|Tohnookenini',|1||||
K44.020|ceese'|2||||
K44.020|he'ih'iiyohoot|3||||
K44.020|nohkuuhu'|4||||
K44.020|hitonounono.|5||||
K44.021|“Tei'yoon,|1||||
K44.021|kookon|2||||
K44.021|beneetniihobeit,”|3||||
K44.021|heehehk|4||||
K44.021|beneeseseit.|5||||
K44.022|Nohkuseic|1||||
K44.022|he'ihce3ei'oono',|2||||
K44.022|hot-nihi'neesee3i',|3||||
K44.022|tohnotiitii3i'|4||||
K44.022|hootniitoh'uune'etii3i'.|5||||
K44.023|He'ih'eteinino'.|1||||
K44.024|Tohnookenini'|1||||
K44.024|toh'owoto'oo3i',|2||||
K44.024|kooxceese'|3||||
K44.024|hiiyohoot.|4||||
K44.025|“Kookon|1||||
K44.025|tei'yoonoh'o'|2||||
K44.025|nih'oo3itotouwou'u;|3||||
K44.026|'oh|1||||
K44.026|kookon|2||||
K44.026|nihnihi'neihi3i',”|3||||
K44.026|heehehk|4||||
K44.026|beneesesei[t].|5||||
K44.027|He'ne'bi'niisineniisi3i',|1||||
K44.027|tohce3ei'oo3i'.|2||||
K44.028|He'ne'kohtowu3ecoot|1||||
K44.028|tih'iiyohooteni3i|2||||
K44.028|hinoohowoh'o.|3||||
K44.029|Kooxhe'ih'eteinino'.|1||||
K44.030|bi'niiseteinino'.|1||||
K44.031|“Hiiwo'|1||||
K44.031|tousooti'?|2||||
K44.032|Hiiwo'|1||||
K44.032|he'iistoonoo3i|2||||
K44.032|tei'yoonoh'o'?|3||||
K44.033|Hi3heetih'e'inowoo,”|1||||
K44.033|niihok|2||||
K44.033|nehe'|3||||
K44.033|beneesesei[t].|4||||
K44.034|Seenook|1||||
K44.034|he'ne'i'touku3etit|2||||
K44.034|tohcenbih'iyooni';|3||||
K44.035|hei'nokohuni3|1||||
K44.035|hinoohowoho',|2||||
K44.035|seenook|3||||
K44.035|hi'tou'cihit.|4||||
K44.036|he'ihcihniisooku3etino'.|1||||
K44.037|3ootece',|1||||
K44.037|hinenitee|2||||
K44.037|he'ihcihno'okus.|3||||
K44.038|“Hiinoononox,|1||||
K44.038|heetiiteihit|2||||
K44.038|cenoot,”|3||||
K44.038|niihok|4||||
K44.038|nehe'|5||||
K44.038|hiineehebeh'it.|6||||
K44.039|He'iisiihi'|1||||
K44.039|woonitees,|2||||
K44.039|niiwo'oteeneihi3i'.|3||||
K44.040|“Heeteehehk|1||||
K44.040|nootoowooheiit|2||||
K44.040|[no]noohowoh'o'.”|3||||
K44.041|3oxoo|1||||
K44.041|he'ihcihP|2||||
K44.041|he'ih'o'otohu|3||||
K44.041|nehe'|4||||
K44.041|beneeseseit.|5||||
K44.042|Hihcebe'|1||||
