ref|word|num|dep|label|dep2|label2
OldSt.001|teecxo'|1||||
OldSt.001|3i'eyoone'|2||||
OldSt.001|hinono'eino'|3||||
OldSt.001|he'ih'entoono'.|4||||
OldSt.002|hih'oowuuni|1||||
OldSt.002|woxhooxebii.|2||||
OldSt.003|nih'iibiitobee3i'.|1||||
OldSt.004|nih'iinoo'ei3oo3i'|1||||
OldSt.004|heniitonookuteeni3i.|2||||
OldSt.005|beexo3ii|1||||
OldSt.005|he'ih'iitonounowuu.|2||||
OldSt.006|notoyeicii|1||||
OldSt.006|nihi'iiniistii3i'|2||||
OldSt.006|hiteixooninoo.|3||||
OldSt.007|nih'iibiinoo3i'.|1||||
OldSt.008|3eicii|1||||
OldSt.008|ci'nih'iibii3i'i.|2||||
OldSt.009|hoxtoono'uu|1||||
OldSt.009|nehe'|2||||
OldSt.009|nii3iine'etii3i'.|3||||
OldSt.010|he'ne'cihcesisiihi3i'|1||||
OldSt.010|hinee|2||||
OldSt.010|yiisiihi'|3||||
OldSt.010|beesoowu'.|4||||
OldSt.011|ne'cei'sooni'i|1||||
OldSt.011|hibii3hiininoo:|2||||
OldSt.012|nowo'uu,|1||||
OldSt.012|biibinootno|2||||
OldSt.012|noh|3||||
OldSt.012|ceeyowciineyoono.|4||||
OldSt.013|ciiyoneehiiho|1||||
OldSt.013|ne'cesistonounoo3i'.|2||||
OldSt.014|nih'oo3ou'u|1||||
OldSt.014|ne'cihcesisooseito'onei3i',.|2||||
OldSt.015|honoot|1||||
OldSt.015|he'ihcihno'xuuhetino'|2||||
OldSt.015|niineniiniicie|3||||
OldSt.016|nih'iibi'nii3oeenowoo3i'.|1||||
OldSt.017|ne'cesistonounou'u|1||||
OldSt.017|3ouuyokoyono.|2||||
OldSt.018|niito'|1||||
OldSt.018|nih'iitonounou'u|2||||
OldSt.018|notoyeicii.|3||||
OldSt.019|ne'cesisoonooxoebiinoo3i'|1||||
OldSt.019|nih'oo3ou'u|2||||
OldSt.019|heeyouhuu.|3||||
OldSt.020|ne'cesistonounoo3i'|1||||
OldSt.020|nuhu'|2||||
OldSt.020|woxhooxebii.|3||||
OldSt.021|hoowoohbiitobeeno';|1||||
OldSt.021|nih'iiciiciisiikohei3i',|2||||
OldSt.022|yiisiihi'|1||||
OldSt.022|heetihco'oo',|2||||
OldSt.022|woo'teenotoyoo',|3||||
OldSt.022|bei'i'einiicie|4||||
OldSt.022|heenei'isiihi'.|5||||
OldSt.023|noh|1||||
OldSt.023|nih'e3ebce'eeckoohu3i'|2||||
OldSt.023|heetko'einooni'.|3||||
OldSt.024|nehe'nih'iitcecinsi'i.|1||||
OldSt.025|noh|1||||
OldSt.025|beniiceni'i|2||||
OldSt.025|ne'nih'ii'woowo'wuuhu3i',|3||||
OldSt.025|tih'ii3ookuhoo3i'|4||||
OldSt.025|hii3einoonin.|5||||
OldSt.026|heniisnoh'oonoo3i,|1||||
OldSt.026|ne'nih'ii'ceni3oo3i'.|2||||
OldSt.027|nih'iibistonouneihit.|1||||
OldSt.028|nehe'nih'eeneisiine'etii3i'.|1||||
OldSt.029|wohei|1||||
OldSt.029|ne'cesisnihi'neenoxoonoo'|2||||
OldSt.029|heesiine'etiino',|3||||
OldSt.029|hi'iihi'|4||||
OldSt.029|tohnihi'neewoo3ee3i'|5||||
OldSt.029|nih'oo3ou'u.|6||||
OldSt.030|wohei|1||||
OldSt.030|ne'neyeisisee3i':|2||||
OldSt.031|hiinono'wuuhunenno'|1||||
OldSt.031|noowuuhu'|2||||
OldSt.031|hee3ebisee3i',|3||||
OldSt.031|noh|4||||
OldSt.031|beesoowuunenno'|5||||
OldSt.031|ne'cei3iihi3i'|6||||
OldSt.031|bei'i'einiicie|7||||
OldSt.031|noh|8||||
OldSt.031|nouuhoowu';|9||||
OldSt.032|noh|1||||
OldSt.032|ne'nih'iitniiseekuu'u|2||||
OldSt.032|hoseihoowuu;|3||||
OldSt.033|ceese'|1||||
OldSt.033|hitesiino',|2||||
OldSt.033|ceese'|3||||
OldSt.033|hinono'eino'.|4||||
OldSt.034|noh|1||||
OldSt.034|nuhu'|2||||
OldSt.034|niisiisiiyeiniixonee3i'|3||||
OldSt.034|nih'etbisiitoneino'.|4||||
OldSt.035|he'ne'niitowootou'u|1||||
OldSt.035|nuhu'|2||||
OldSt.035|niibootno.|3||||
OldSt.036|wohei|1||||
OldSt.036|neeniheesiini:|2||||
OldSt.037|heetbi'co'ookootiino'|1||||
OldSt.037|nuhu'|2||||
OldSt.037|niibootno.|3||||
OldSt.038|''heetihtonounowuno'|1||||
OldSt.038|nuhu'|2||||
OldSt.038|niibootno,''|3||||
OldSt.038|heehehkoni'.|4||||
OldSt.039|'oh|1||||
OldSt.039|hoowee'inowuu|2||||
OldSt.039|tih'oonoyoohobeihi3i':|3||||
OldSt.040|heneihcee3too3i'|1||||
OldSt.040|hihbisiitoneino'ohk.|2||||
OldSt.041|heneihnoo'oohoono'.|1||||
OldSt.042|heetniiseekuu'|1||||
OldSt.042|nee'eesih'iinoo'|2||||
OldSt.042|nuhu'.|3||||
OldSt.043|wohei|1||||
OldSt.043|he'iicxooyeiniihi',|2||||
OldSt.043|he'ne'ce'bisiitonei3i'|3||||
OldSt.043|siisiiyeiniixoneehiiho|4||||
OldSt.043|noh|5||||
OldSt.043|beniiinenno|6||||
OldSt.043|hinee|7||||
OldSt.043|konouwoo'oe'|8||||
OldSt.043|ni'ii3eihiinoo'.|9||||
OldSt.044|wohei|1||||
OldSt.044|ceese'|2||||
OldSt.044|hinen|3||||
OldSt.044|he'ihwoowoxu'oo3eih.|4||||
OldSt.045|noh|1||||
OldSt.045|ne'cihnooteso'ei'it|2||||
OldSt.045|woxhooxebii,|3||||
OldSt.045|hee3ebnoh'oeso'onoot|4||||
OldSt.045|teesi'.|5||||
OldSt.046|ne'eeneitooxebei3i'.|1||||
