ref|word|num|dep|label|dep2|label2
Tom.001|Wohei|1||||
Tom.001|heetnoo3itoone3enee.|2||||
Tom.002|Woow|1||||
Tom.002|neesoo'|2||||
Tom.002|ceeseini'|3||||
Tom.002|ceeciiniini'.|4||||
Tom.003|Niitowootowoo|1||||
Tom.003|heetyoo[hu]ni'ehk|2||||
Tom.003|hiice'eexoowu'.|3||||
Tom.004|Wohei|1||||
Tom.004|he'ne'heebe3oo'eikoni';|2||||
Tom.005|Hecexoteiniiciihehe'|1||||
Tom.005|ne'[nih'ii]tootee'.|2||||
Tom.006|Nihbeetoh'esooku'oonoo.|1||||
Tom.007|Ne'yiisiihino'.|1||||
Tom.008|Hee3ebno'uuhuno'.|1||||
Tom.009|Hee3neewoo3ee'|1||||
Tom.009|hinono'eiteen.|2||||
Tom.010|He'ih'eebe3oo'eikon,|1||||
Tom.010|tohbeetnoohobeihiinoo'|2||||
Tom.010|hiice'eexoowu'.|3||||
Tom.011|Wohei|1||||
Tom.011|ne'ceecesisoo'|2||||
Tom.011|heenecenootiini'.|3||||
Tom.012|Niiniibei'i3i'|1||||
Tom.012|beh'eihoho'.|2||||
Tom.013|Nih'onobeinooni'.|1||||
Tom.014|Wohei|1||||
Tom.014|netiini3ecoo|2||||
Tom.014|heesehce'oseitiseenoo'.|3||||
Tom.015|Hinee|1||||
Tom.015|neeyou|2||||
Tom.015|hinono'ei|3||||
Tom.015|tih'eeneiniihit,|4||||
Tom.015|tih'oonowoo3iine'etiit,|5||||
Tom.015|heesehkookokoh'eeneetowoo.|6||||
Tom.016|Noonoh'ouubeti3i'|1||||
Tom.016|hineniteeno'.|2||||
Tom.017|Hehneenihwoo3ee'.|1||||
Tom.018|'oh|1||||
Tom.018|nehe'|2||||
Tom.018|heetyoohut,|3||||
Tom.018|Wohohk|4||||
Tom.018|nee'eesih'it|5||||
Tom.018|hinono'ei.|6||||
Tom.019|Neneenit|1||||
Tom.019|heniinoonowoo'oot,(?)|2||||
Tom.019|niiniiitowoot|3||||
Tom.019|niiteheibetiit.|4||||
Tom.020|Hehnottowoot|1||||
Tom.020|honoh'oho.|2||||
Tom.021|Wohei|1||||
Tom.021|noh|2||||
Tom.021|nuhu'|3||||
Tom.021|heetoh'ootiino',|4||||
Tom.021|nehe'|5||||
Tom.021|nebesiibehe',|6||||
Tom.021|hoo'eino',|7||||
Tom.021|neneenit|8||||
Tom.021|heneeneeteihit.|9||||
Tom.022|Nee'eetohniiboohuno'.|1||||
Tom.023|Honootei'i|1||||
Tom.023|niiinono,|2||||
Tom.023|heetoh'oonoo'eisee3i',|3||||
Tom.023|honoh'oho'.|4||||
Tom.024|Wohei|1||||
Tom.024|ne'iini|2||||
Tom.024|hei'iiseeneti3eihi3i'|3||||
Tom.024|honoh'oho',|4||||
Tom.024|nuhu'|5||||
Tom.024|heetniito'ootou'u,|6||||
Tom.024|Hoo3oo'o'|7||||
Tom.024|ne'niihennoono'usee3i'|8||||
Tom.024|heeneetohni'eeneetou'u.|9||||
Tom.025|Heeneetoh'eecxooyeibeniiineniini3i',|1||||
Tom.025|nee'eeneetoo3i'.|2||||
Tom.026|Noh|1||||
Tom.026|ne'noonouse'|2||||
Tom.026|hini'iit|3||||
Tom.026|nih'iineehebiitou'u.|4||||
Tom.027|Woow|1||||
Tom.027|tohbisneenono'oo3i'.|2||||
Tom.028|'oh|1||||
Tom.028|hineniteeno'|2||||
Tom.028|heneeneiteneihi3i'.|3||||
Tom.029|Nenee3i'|1||||
Tom.029|nihniiniitehei3i'.|2||||
Tom.030|Heetneyeikohkuxotii3i'|1||||
Tom.030|niiyou|2||||
Tom.030|nuhu'|3||||
Tom.030|hiice'eexoowu'.|4||||
Tom.031|Wohei|1||||
