ref|word|num|dep|label|dep2|label2
TwoSon(w).001|teecxo'|1||||
TwoSon(w).001|hinen|2||||
TwoSon(w).001|he'ihniisinino|3||||
TwoSon(w).001|hiih'oho.|4||||
TwoSon(w).002|ceese'|1||||
TwoSon(w).002|he'ihnisih'oxoneen,|2||||
TwoSon(w).002|ceexoon|3||||
TwoSon(w).002|he'ihnookoxoneen.|4||||
TwoSon(w).003|wohei|1||||
TwoSon(w).003|hee3oohok|2||||
TwoSon(w).003|nuhu'|3||||
TwoSon(w).003|hiih'oho,|4||||
TwoSon(w).003|heetniinoo'einee.|5||||
TwoSon(w).004|toonneniito'no'ookeit|1||||
TwoSon(w).004|heetnibiino'|2||||
TwoSon(w).004|no'oteihiit.|3||||
TwoSon(w).005|neniiso'ce3ei'oo3i'|1||||
TwoSon(w).005|nuhu'|2||||
TwoSon(w).005|honoh'oho'.|3||||
TwoSon(w).006|wohei|1||||
TwoSon(w).006|nehe'|2||||
TwoSon(w).006|nonookoxoneet|3||||
TwoSon(w).006|hihcebee|4||||
TwoSon(w).006|he'ihneeneh'ee|5||||
TwoSon(w).006|biixoxko'uu.|6||||
TwoSon(w).007|he'ihce'noxohoeno'xotonee|1||||
TwoSon(w).007|hoseino'|2||||
TwoSon(w).007|hiniisonoon.|3||||
TwoSon(w).008|yehei|1||||
TwoSon(w).008|hee3oohok|2||||
TwoSon(w).008|hiih'o|3||||
TwoSon(w).008|heeteihehk|4||||
TwoSon(w).008|nono'oteihit.|5||||
TwoSon(w).009|wohei|1||||
TwoSon(w).009|ne'neenini3|2||||
TwoSon(w).009|tonou3e'einoot|3||||
TwoSon(w).009|no'oteihiit.|4||||
TwoSon(w).010|wohei|1||||
TwoSon(w).010|nehe'|2||||
TwoSon(w).010|niisih'oxoneet|3||||
TwoSon(w).010|he'ihwoono'ookei|4||||
TwoSon(w).010|bih'ihii,|5||||
TwoSon(w).010|hiwoxuuhuu|6||||
TwoSon(w).010|noh|7||||
TwoSon(w).010|hinenihiinoseinou'u.|8||||
TwoSon(w).011|wohei|1||||
TwoSon(w).011|neixoo,|2||||
TwoSon(w).011|niiyouno|3||||
TwoSon(w).011|hoseinou'u|4||||
TwoSon(w).011|heesnoo3oono.|5||||
TwoSon(w).012|beebei'on|1||||
TwoSon(w).012|no'o'|2||||
TwoSon(w).012|nee['ee]tiinoo'einoo.|3||||
TwoSon(w).013|neeseh'e|1||||
TwoSon(w).013|heniisehtonihein.|2||||
TwoSon(w).014|hihcebee|1||||
TwoSon(w).014|nihnoo'oohoot|2||||
TwoSon(w).014|biixoxko'uu|3||||
TwoSon(w).014|hotonih'in.|4||||
TwoSon(w).015|'eiicowoo'ei,***|1||||
TwoSon(w).015|hii3oobein.|2||||
TwoSon(w).016|neehtoniheinoo.|1||||
TwoSon(w).017|hiikoot|1||||
TwoSon(w).017|heniistou3e'eino'|2||||
TwoSon(w).017|no'oteihiit.|3||||
TwoSon(w).018|wohei|1||||
TwoSon(w).018|heetou3e'eine3en|2||||
TwoSon(w).018|ceebe'eini'oo'.|3||||
TwoSon(w).019|cee3ei'oonei'i,|1||||
TwoSon(w).019|heetniixouuweeckoohunee.|2||||
TwoSon(w).020|noh|1||||
TwoSon(w).020|hiiwoonhehe'|2||||
