ref|word|num|dep|label|dep2|label2
UnRav.001|hinee|1||||
UnRav.001|he'ih'oonootiino'.|2||||
UnRav.002|huu3e'|1||||
UnRav.002|ci'kooxne'iini|2||||
UnRav.002|hi'in|3||||
UnRav.002|nihii|4||||
UnRav.002|bisiitonei3i'.|5||||
UnRav.003|hi'in|1||||
UnRav.003|nonoononiikohoo3i'.|2||||
UnRav.004|'oh|1||||
UnRav.004|nehe'|2||||
UnRav.004|nihii|3||||
UnRav.004|nebesiibeih'inoo,|4||||
UnRav.004|nebesiibeih'inoo,|5||||
UnRav.004|ne'nih'iitooku3cihit,|6||||
UnRav.004|nih'ii3oo3i'|7||||
UnRav.005|he'ih'inihii|1||||
UnRav.005|nei'P|2||||
UnRav.005|nei'eeniiseneih,|3||||
UnRav.005|niis[t]oo3i'|4||||
UnRav.005|hiiwoonhehe'|5||||
UnRav.005|hiniisooninoo.|6||||
UnRav.006|kon|1||||
UnRav.006|tou'cihiniisenoo3i'.|2||||
UnRav.007|he'ihniiseneih|1||||
UnRav.007|nehe'|2||||
UnRav.007|nebesiibeih'inoo.|3||||
UnRav.008|noh|1||||
UnRav.008|nenitee|2||||
UnRav.008|he'ne'ini|3||||
UnRav.008|yoo3kuu3eit.|4||||
UnRav.009|Hinenin|1||||
UnRav.009|he'ihsehbiibise'einin.|2||||
UnRav.010|kookoonenowuun[in]ee|1||||
UnRav.010|nuhu'|2||||
UnRav.010|hiyeih'inoo.|3||||
UnRav.011|noh|1||||
UnRav.011|hinenitee,|2||||
UnRav.011|hi'in|3||||
UnRav.011|nihii,|4||||
UnRav.011|he'ne'3ebnei'ooku'oot.|5||||
UnRav.012|nehe'|1||||
UnRav.012|ceese',|2||||
UnRav.012|noohobe'|3||||
UnRav.012|nehe',|4||||
UnRav.012|nih'iihok.|5||||
UnRav.013|heeneise'enou'uyihooni3i,|1||||
UnRav.013|nuhu'|2||||
UnRav.013|hinotiiheiitooninoo;|3||||
UnRav.014|noh|1||||
UnRav.014|nehe'|2||||
UnRav.014|nooke'ei|3||||
UnRav.014|beh'ei|4||||
UnRav.014|â€''|5||||
UnRav.014|I|6||||
UnRav.014|couldn't|7||||
UnRav.014|think|8||||
UnRav.014|of|9||||
UnRav.014|his|10||||
UnRav.014|name|11||||
UnRav.014|â€'';|12||||
UnRav.015|nooke'ei|1||||
UnRav.015|beh'ei,|2||||
UnRav.015|nebesiibeih'inoo|3||||
UnRav.015|he'ih'ooku3cih.|4||||
UnRav.016|See|1||||
UnRav.016|hooku3cihi|2||||
UnRav.016|means|3||||
UnRav.016|he|4||||
UnRav.016|unraveled|5||||
UnRav.016|himself,|6||||
UnRav.016|he|7||||
UnRav.016|was|8||||
UnRav.016|just|9||||
UnRav.016|a|10||||
UnRav.016|baby,|11||||
UnRav.016|you|12||||
UnRav.016|know,|13||||
UnRav.016|and|14||||
UnRav.016|here|15||||
UnRav.016|they|16||||
UnRav.016|were|17||||
UnRav.016|trying|18||||
UnRav.016|to|19||||
UnRav.016|keep|20||||
UnRav.016|him|21||||
UnRav.016|hidden.|22||||
UnRav.017|nihneyeiyoo3kuu3eit.|1||||
UnRav.018|noh|1||||
UnRav.018|he'ihniihenooku3cih.|2||||
UnRav.019|[Fortunately|1||||
UnRav.019|the|2||||
UnRav.019|cavalry|3||||
UnRav.019|did|4||||
UnRav.019|not|5||||
UnRav.019|see|6||||
UnRav.019|him,|7||||
UnRav.019|and|8||||
UnRav.019|the|9||||
UnRav.019|Arapahos|10||||
UnRav.019|escaped].|11||||
UnRav.020|So|1||||
UnRav.020|they|2||||
UnRav.020|called|3||||
UnRav.020|that|4||||
UnRav.020|[place]|5||||
UnRav.020|nooke'ei|6||||
UnRav.020|beh'ei|7||||
UnRav.020|heetooku3cihit.|8||||
