ref|word|num|dep|label|dep2|label2
Wheel.001|wohei.|1||||
Wheel.002|wohei|1||||
Wheel.002|beh'eihoho':|2||||
Wheel.003|hoowuniihiihi',|1||||
Wheel.003|noowuuhu',|2||||
Wheel.003|noxuutei',|3||||
Wheel.003|nenebiihi':|4||||
Wheel.004|beh'eihetoowo'o;|1||||
Wheel.005|niiyou|1||||
Wheel.005|hinee|2||||
Wheel.005|hotii,|3||||
Wheel.005|heetoh'uni|4||||
Wheel.005|nooxeisi';|5||||
Wheel.006|noh|1||||
Wheel.006|hinee|2||||
Wheel.006|beh'eihoho',|3||||
Wheel.006|hee3ebinihii3e3enee;|4||||
Wheel.007|cih'oo'eikoohunee;|1||||
Wheel.008|heeteiP|1||||
Wheel.008|ne'nih'iisniiitowuune3enee,|2||||
Wheel.008|tih'iicihno'useenee|3||||
Wheel.008|neyeih'e'.|4||||
Wheel.009|hehyeininee:|1||||
Wheel.010|nohuusoho'|1||||
Wheel.010|nenee'.|2||||
Wheel.011|wohei|1||||
Wheel.011|nenee'|2||||
Wheel.011|niiyou,|3||||
Wheel.011|hee3ebnoteii3ihe3enee.|4||||
Wheel.012|neeyou|1||||
Wheel.012|hinee|2||||
Wheel.012|hotii,|3||||
Wheel.012|heetoh'uni|4||||
Wheel.012|heinokut.|5||||
Wheel.013|kookon|1||||
Wheel.013|tih'iiciiteneihiinoo'.|2||||
Wheel.014|hee,|1||||
Wheel.014|kookon|2||||
Wheel.014|tih'iiciiP|3||||
Wheel.014|ne'nih'iisinihiitooni'.|4||||
Wheel.015|beexo'ceceeco'oheihiinoo'|1||||
Wheel.015|heeyouhuu.|2||||
Wheel.016|neeyei3oo'oe',|1||||
Wheel.016|hiisoho',|2||||
Wheel.016|3oowohou'u|3||||
Wheel.016|hunit,|4||||
Wheel.016|hinee|5||||
Wheel.016|hotii.|6||||
Wheel.017|(hotii,|1||||
Wheel.017|ne'niisih'eihit|2||||
Wheel.017|nih'oo3ou'u,|3||||
Wheel.017|ne'nih'iisinihiitou'u;|4||||
Wheel.018|notoniheiniini|1||||
Wheel.018|wheel,|2||||
Wheel.018|hotii,|3||||
Wheel.018|medicine|4||||
Wheel.018|wheel,|5||||
Wheel.018|nee'eesinihiitou'u.)|6||||
Wheel.019|huut|1||||
Wheel.019|neneenino',|2||||
Wheel.019|nokooyoowu'|3||||
Wheel.019|niisootoxuuus,|4||||
Wheel.019|niisootoxuuus,|5||||
Wheel.019|he'ne'nih'iicisentoo3i'.|6||||
Wheel.020|nee'eetoxei'i.|1||||
Wheel.021|3oowohou'u|1||||
Wheel.021|he'iitoh'uni|2||||
Wheel.021|ciiP|3||||
Wheel.021|cooh'oeetiini';|4||||
Wheel.022|ne'nih'iitcooh'oeetiini',|1||||
Wheel.022|hiit|2||||
Wheel.022|3oowohou'u.|3||||
Wheel.023|wohei|1||||
Wheel.023|niine'eeno'|2||||
Wheel.023|hoto3i'oono',|3||||
Wheel.023|cei3wooono';|4||||
Wheel.024|heetee|1||||
Wheel.024|hinono'ei,|2||||
Wheel.024|tih'iinii3inoot|3||||
Wheel.024|cei3wooo,|4||||
Wheel.024|nih'iicei3ibee3i'.|5||||
Wheel.025|nih'iicei3ibee3i'.|1||||
Wheel.026|hineniteeno'|1||||
Wheel.026|nih'eenentoo3i'|2||||
Wheel.026|niisootoxu3i'.|3||||
Wheel.027|neeceenouwo,|1||||
Wheel.027|nih'ooxoubee3i'.|2||||
Wheel.028|wohei|1||||
Wheel.028|niitouu3oono,|2||||
Wheel.028|niitouu3oono|3||||
Wheel.028|nihi'iiwoteinooni3i'.|4||||
Wheel.029|wohei|1||||
Wheel.029|nenee'|2||||
Wheel.029|nih'eeneisnii3nowoo3i'.|3||||
Wheel.030|nih'iicooh'owoo3i'.|1||||
Wheel.031|nih'iiceeh'eihiinoo',|1||||
Wheel.031|niistoowo'o.|2||||
Wheel.032|kookon|1||||
Wheel.032|tih'iiciiteneihiinoo'|2||||
Wheel.032|heeyouhuu;|3||||
Wheel.033|niisootoxuuus.|1||||
Wheel.034|wohei|1||||
Wheel.034|ne'nih'ei'toowoohuutooni'|2||||
Wheel.034|nokooyoowu':|3||||
Wheel.035|niisootoxuuus.|1||||
Wheel.036|heetee|1||||
Wheel.036|cihnee'eenee'eesoo'.|2||||
Wheel.037|teecxo'|1||||
Wheel.037|neeyou|2||||
Wheel.037|hinee|3||||
Wheel.037|heetbeesoowuuteen,|4||||
Wheel.037|no'uuhu'|5||||
Wheel.037|hiiwoonhehe'.|6||||
Wheel.038|'oh|1||||
Wheel.038|heniinooxuwut.|2||||
Wheel.039|'oh|1||||
Wheel.039|ne'tootoe'nowuuneino'.|2||||
Wheel.040|bi'neesiinsineno'|1||||
Wheel.040|hiiwoonhehe'.|2||||
Wheel.041|'oh|1||||
Wheel.041|niisootoxuuus,|2||||
Wheel.041|heetee|3||||
Wheel.041|ne'nih'iiskohkusee[noo'];|4||||
Wheel.042|ne'nih'ii'ni'ootowootiini':|1||||
Wheel.043|niisootoxuuus.|1||||
Wheel.044|wohei|1||||
Wheel.044|nenee',|2||||
Wheel.044|beebei'on|3||||
Wheel.044|nihnohkeeneihiitiseenoo'|4||||
Wheel.044|nuhu'|5||||
Wheel.044|niistoowoohuut.|6||||
Wheel.045|tih'entou'|1||||
Wheel.045|hineniteeno'|2||||
Wheel.045|nih'ini|3||||
Wheel.045|woxusii3i'.|4||||
Wheel.046|niitouu3oono,|1||||
Wheel.046|neeceenouwo,|2||||
Wheel.046|nih'ooxoubee3i'.|3||||
Wheel.047|wohei|1||||
Wheel.047|nenee'|2||||
Wheel.047|heetee|3||||
Wheel.047|cenih'eesiine'etiit|4||||
Wheel.047|hinono'ei,|5||||
Wheel.047|tih'i3oowoto'|6||||
Wheel.047|heeyouhuu.|7||||
Wheel.048|wohei|1||||
Wheel.048|nehe'nih'iiniiniistii3i'.|2||||
Wheel.049|niiyou|1||||
Wheel.049|hiyeih'inoo,|2||||
Wheel.049|niisootoxei'i;|3||||
Wheel.050|nehe'nih'iitoxuni3i':|1||||
Wheel.051|niisootoxuunsi'i.|1||||
Wheel.052|kookon|1||||
Wheel.052|tih'iiciiteneihiinoo'|2||||
Wheel.052|heeyouhuu.|3||||
Wheel.053|niiyou|1||||
Wheel.053|wohnoh3oono,|2||||
Wheel.053|3ebiihi'|3||||
Wheel.053|wohnoh3oono;|4||||
Wheel.054|hoseihoowu'|1||||
Wheel.054|hi'niisoo';|2||||
Wheel.055|wohnoh3oono|1||||
Wheel.055|tootoukuhu'u.|2||||
Wheel.056|wohei|1||||
Wheel.056|niine'eeno'|2||||
Wheel.056|wohnoh3oono.|3||||
Wheel.057|wohei|1||||
Wheel.057|niine'eeno'|2||||
Wheel.057|nuhu'|3||||
Wheel.057|cei3wooono',|4||||
Wheel.057|ko'einiihi'|5||||
Wheel.057|cei3wooono',|6||||
Wheel.057|wonoo3ee3i'.|7||||
Wheel.058|3owo3neniteeno':|1||||
Wheel.059|nii'eihiiho',|1||||
Wheel.059|cese'eihiiho',|2||||
Wheel.059|wonoo3ee3i'.|3||||
Wheel.060|henP|1||||
Wheel.060|beiseentou'.|2||||
Wheel.061|niice'ouP|1||||
Wheel.061|hu'un|2||||
Wheel.061|niistoowoohuut.|3||||
Wheel.062|wohei|1||||
Wheel.062|ne'nih'iiscebiseenoo'|2||||
Wheel.062|niiyou.|3||||
Wheel.063|teecxo',|1||||
Wheel.063|hinee|2||||
Wheel.063|1862,|3||||
Wheel.063|hei'e'inowoo,|4||||
Wheel.063|nono'eino'|5||||
Wheel.063|cihnoho'see3i';|6||||
Wheel.064|noho'ouuhu3i';|1||||
Wheel.065|bii'iitii3i'|1||||
Wheel.065|nono'eino',|2||||
Wheel.065|nenee3i'.|3||||
Wheel.066|teecxo'|1||||
Wheel.066|1862.|2||||
Wheel.067|woow|1||||
Wheel.067|teebe|2||||
Wheel.067|tihcih'eenentou'u|3||||
Wheel.067|nuhu'.|4||||
Wheel.068|howoo|1||||
Wheel.068|1868|2||||
Wheel.068|hiit|3||||
Wheel.068|cee'iyeino'oowu',|4||||
Wheel.068|hoono'|5||||
Wheel.068|hoowneeneeheyei'oo.|6||||
Wheel.069|1862.|1||||
Wheel.070|3ebiihi',|1||||
Wheel.070|3ebiihi'|2||||
Wheel.070|neeyou|3||||
Wheel.070|Estes|4||||
Wheel.070|Park,|5||||
Wheel.070|nii'eihiiho'|6||||
Wheel.070|nih'iitP;|7||||
Wheel.071|3ebiihi'|1||||
Wheel.071|hinee|2||||
Wheel.071|noowuuhu',|3||||
Wheel.071|3ebnoowuuhu'|4||||
Wheel.071|hinee|5||||
Wheel.071|Sand|6||||
Wheel.071|Creek,|7||||
Wheel.071|hi'in|8||||
Wheel.071|wo'teenooo|9||||
Wheel.071|nih'iitouninoo3eihit.|10||||
Wheel.072|hiit|1||||
Wheel.072|nih'entoot|2||||
Wheel.072|nihbii'iiheihit|3||||
Wheel.072|nehe'|4||||
Wheel.072|Pawnees.|5||||
Wheel.073|wohei|1||||
Wheel.073|nenee':|2||||
Wheel.074|niiyou|1||||
Wheel.074|nuhu'|2||||
Wheel.074|hotii,|3||||
Wheel.074|medicine|4||||
Wheel.074|wheel,|5||||
Wheel.074|nee'ee3e'inoneihit|6||||
Wheel.074|hiiwoonhehe'.|7||||
Wheel.075|nih'oo3ounih'eihit.|1||||
Wheel.076|hoowuuhu'|1||||
Wheel.076|nee'ee3e'inowuno'|2||||
Wheel.076|nono'eino'.|3||||
Wheel.077|nee'eesnehtiiheihiinoo',|1||||
Wheel.077|nih'oo3ounih'eihit,|2||||
Wheel.077|medicine|3||||
Wheel.077|wheel.|4||||
Wheel.078|'oh|1||||
Wheel.078|hinono'ei,|2||||
Wheel.078|hinono'ei,|3||||
Wheel.078|ne'nih'iitnokooyeit,|4||||
Wheel.078|nokooyoowu'.|5||||
Wheel.079|tootonoxteeni',|1||||
Wheel.079|ne'nih'iit3eiisei'i|2||||
Wheel.079|hiyeih'inoo;|3||||
Wheel.080|ne'nih'iit3eiisei'i|1||||
Wheel.080|niitou3oono.|2||||
Wheel.081|niiniibei'i3i'.|1||||
Wheel.082|wohei|1||||
Wheel.082|cooh'owoo3i'|2||||
Wheel.082|hinee|3||||
Wheel.082|heetneehii3ei'eekuu'.|4||||
Wheel.083|hiicoo3i'.|1||||
Wheel.084|noh|1||||
Wheel.084|nee'eetou':|2||||
Wheel.085|nee'eetno'use'.|1||||
Wheel.086|howoo'oot|1||||
Wheel.086|tohbeteenP.|2||||
Wheel.087|ne'bisP|1||||
Wheel.087|wootii|2||||
Wheel.087|biisiinowootiini'|3||||
Wheel.087|noh'ouuhtoohoe|4||||
Wheel.087|neehii3ei'.|5||||
Wheel.088|hi'in|1||||
Wheel.088|nenee',|2||||
Wheel.088|hi'in|3||||
Wheel.088|nenee'.|4||||
Wheel.089|wootii|1||||
Wheel.089|nee'eesbii'iiheiP|2||||
Wheel.089|bii'eenebeihiinoo'.|3||||
Wheel.090|hoseihoowu',|1||||
Wheel.090|wohnoh3oono,|2||||
Wheel.090|niiyou|3||||
Wheel.090|wohnoh3oono;|4||||
Wheel.091|hi'in|1||||
Wheel.091|'ee|2||||
Wheel.091|heeneesP|3||||
Wheel.091|ho'nookeeni',|4||||
Wheel.091|heetootonoxteeni'.|5||||
Wheel.092|he'ne'nih'iitentoo3i'|1||||
Wheel.092|niine'eeno'|2||||
Wheel.092|nono'eino'.|3||||
Wheel.093|nih'iinokooyei3i'|1||||
Wheel.093|nohkuuhu'|2||||
Wheel.093|hitouwunoo,|3||||
Wheel.093|neeceenouwo,|4||||
Wheel.093|niitouu3oo[no].|5||||
Wheel.094|wohei|1||||
Wheel.094|hiiwo'eino[o]ni3i'|2||||
Wheel.094|niisootoxuuus,|3||||
