ref|word|num|dep|label|dep2|label2
WoCap.001|teecxo'|1||||
WoCap.001|hinee|2||||
WoCap.001|nono'usei,|3||||
WoCap.001|he'ihwowooniin:|4||||
WoCap.002|ko3einoo3itoo.|1||||
WoCap.003|neeyou|1||||
WoCap.003|hinee|2||||
WoCap.003|nih'iitiine'etii3i'|3||||
WoCap.003|nono'eino',|4||||
WoCap.003|hinee|5||||
WoCap.003|hii3e'.|6||||
WoCap.004|he'ih'iinookohei'i|1||||
WoCap.004|no'oeteiniihi'|2||||
WoCap.004|hiisoho'.|3||||
WoCap.005|'oh|1||||
WoCap.005|niine'eeno'|2||||
WoCap.005|nuhu',|3||||
WoCap.005|niine'eeno'|4||||
WoCap.005|nuhu'|5||||
WoCap.005|coo3o'.|6||||
WoCap.006|'oh|1||||
WoCap.006|he'ihbisiitoneih.|2||||
WoCap.007|xonou|1||||
WoCap.007|nii'eikuu3eit.|2||||
WoCap.008|hoowuni'ini;|1||||
WoCap.009|xo'owkuu3eit|1||||
WoCap.009|hetniiciini'tooyeito'.|2||||
WoCap.010|ne'wowooniinit|1||||
WoCap.010|hinit|2||||
WoCap.010|cei3iihi'.|3||||
WoCap.011|he'ne'ceixoheit|1||||
WoCap.011|cihteesi',|2||||
WoCap.011|cihteesi',|3||||
WoCap.011|cebiihi'|4||||
WoCap.011|niiyou|5||||
WoCap.011|heetowooxeise';|6||||
WoCap.012|heso'oobooo|1||||
WoCap.012|heetou',|2||||
WoCap.012|hinit.|3||||
WoCap.013|hoono'|1||||
WoCap.013|hooweentou'.|2||||
WoCap.014|3i'eyoono'|1||||
WoCap.014|nihbi'eenentoo3i'.|2||||
WoCap.015|ne'ceixoheit;|1||||
WoCap.016|heece'eici3eit.|1||||
WoCap.017|'oh|1||||
WoCap.017|beni'e'ino'|2||||
WoCap.017|hitiini3ecoono|3||||
WoCap.017|tohnoxuuteixoheit.|4||||
WoCap.018|'ei|1||||
WoCap.018|he'iicisiininoo3i|2||||
WoCap.018|he'niisiiis|3||||
WoCap.018|no'eeckoohut,|4||||
WoCap.018|wo'ei3|5||||
WoCap.018|he'neesiiis,|6||||
WoCap.018|tohuuciini|7||||
WoCap.018|hite'iyooniitooni'.|8||||
WoCap.019|beebeet|1||||
WoCap.019|nuhu'|2||||
WoCap.019|huusi'|3||||
WoCap.019|bi'neenehtowooto'|4||||
WoCap.019|heeyouhuu.|5||||
WoCap.020|nii'ehiiho|1||||
WoCap.020|nihceh'e3ihoot,|2||||
WoCap.020|woo'uhei|3||||
WoCap.020|noh|4||||
WoCap.020|cooxucenee,|5||||
WoCap.020|wohei|6||||
WoCap.020|heenei'i[siihi'].|7||||
WoCap.021|wohei|1||||
WoCap.021|ne'nih'iisiini|2||||
WoCap.021|wowooniinit|3||||
WoCap.021|3ebiihi'.|4||||
WoCap.022|hohkonee|1||||
WoCap.022|ne'no'xoheit;|2||||
WoCap.023|ne'no'xoheit|1||||
WoCap.023|niiyou.|2||||
WoCap.024|'oh|1||||
WoCap.024|hoowkohtowuuni,|2||||
WoCap.024|hoowkohtoweeP|3||||
WoCap.024|hoowkohtowuhe'.|4||||
WoCap.025|hoowoe'in|1||||
WoCap.025|toonhee3eeniini|2||||
WoCap.025|wowooniinit.|3||||
WoCap.026|wohei|1||||
WoCap.026|neneenin;|2||||
WoCap.026|he'ihnii3neniibe'|3||||
WoCap.026|hiseino|4||||
WoCap.026|khoo,|5||||
WoCap.026|beebee3sohowuuneit:|6||||
WoCap.027|neneenin|1||||
WoCap.027|nih'ee3eeniini|2||||
WoCap.027|hee3eeno'uxoheihin:|3||||
WoCap.028|neneenin|1||||
WoCap.028|heetniiteheibei'een|2||||
WoCap.028|khoo.|3||||
WoCap.029|hi'in|1||||
WoCap.029|niisiine'etiit,|2||||
WoCap.029|nee'eesoo'|3||||
WoCap.029|hinee|4||||
WoCap.029|heeteihin,|5||||
WoCap.029|hi'in|6||||
WoCap.029|heeteihin,|7||||
WoCap.029|hiisiihi'|8||||
WoCap.029|heeneisiine'etiinee,|9||||
WoCap.029|hiit|10||||
WoCap.029|heetniiteheibei'een.|11||||
WoCap.030|neihoowno'oteihibe|1||||
WoCap.030|hiit.|2||||
WoCap.031|heenei'isiihi'|1||||
WoCap.031|heetcih'eeneixoohoo3ihei'een.|2||||
WoCap.032|woow|1||||
WoCap.032|hi'in|2||||
WoCap.032|nii3neniibei'een|3||||
WoCap.032|niiyou|4||||
WoCap.032|nuhu'|5||||
WoCap.032|tih'iibiice',|6||||
WoCap.032|benii'owuuni',|7||||
WoCap.032|wohei|8||||
WoCap.032|tih'iibiice',|9||||
WoCap.032|wohei|10||||
WoCap.032|tih'iitoyouni',|11||||
WoCap.032|wohei,|12||||
WoCap.032|wohei|13||||
WoCap.032|tih'iicecinsineetiini':|14||||
WoCap.033|heetniiniixoohoo[3ihei'een],|1||||
WoCap.033|heenei'towuunei'een.|2||||
WoCap.034|wohei|1||||
WoCap.034|niiyou:|2||||
WoCap.035|heetcih'eenei'towuunei'een,|1||||
WoCap.035|heeneixoo[hoo3ihei'een],|2||||
WoCap.035|hinee|3||||
WoCap.035|hinenno'|4||||
WoCap.035|neeneisiini|5||||
WoCap.035|heeneinoo'ei3i'.|6||||
WoCap.036|wohei|1||||
WoCap.036|nenee'|2||||
WoCap.036|heetniini|3||||
WoCap.036|niiteheibei'een;|4||||
WoCap.037|neeneisneeneeP|1||||
WoCap.037|heeneise'enou'uheihiinoo'|2||||
WoCap.037|hiine'etiit.|3||||
WoCap.038|heni'iine'etiiwoohuutooni'|1||||
WoCap.038|notoyeicii,|2||||
WoCap.038|heenei'isiihi',|3||||
WoCap.038|niscihininouhuuniihi'.|4||||
WoCap.039|wohei|1||||
WoCap.039|khoo|2||||
WoCap.039|beenhehe'|3||||
WoCap.039|hee'inowuno',|4||||
WoCap.039|'oh|5||||
WoCap.039|hoowuuni,|6||||
WoCap.039|hoowuno'o3iini|7||||
WoCap.039|huut.|8||||
WoCap.040|niine'eeno'|1||||
WoCap.040|nuhu'|2||||
WoCap.040|neniteeno'|3||||
WoCap.040|cooh'oukutoo3i':|4||||
WoCap.041|niicihwonoonooxoebiineino'.|1||||
WoCap.042|hiit|1||||
WoCap.042|3ebkox3i'|2||||
WoCap.042|hi'in|3||||
WoCap.042|heetoh'i3o'obee'|4||||
WoCap.042|niino'usee-3i'.|5||||
WoCap.043|'ee|1||||
WoCap.043|heeyowuuhu',|2||||
WoCap.043|heeyowbiicei'i,|3||||
WoCap.043|wo'ei3|4||||
WoCap.043|niisbiibiicei'i|5||||
WoCap.043|hoonii|6||||
WoCap.043|niinoono'usee3i'.|7||||
WoCap.044|ceniixootee'.|1||||
WoCap.045|wohei|1||||
WoCap.045|heetneenei'towuunei'een|2||||
WoCap.045|hi'in;|3||||
WoCap.046|heetneeneixoohoo3ihei'een;|1||||
WoCap.047|heetneeneisiixoohoo[3ihei'een]|1||||
WoCap.047|neneeninee|2||||
WoCap.047|heeteihinee,|3||||
WoCap.047|hii3e',|4||||
WoCap.047|hinee|5||||
WoCap.047|cenih'iitiseen.|6||||
WoCap.048|wohei|1||||
WoCap.048|hi'in,|2||||
WoCap.048|nee'ee3eeno'uxoheihin|3||||
WoCap.048|hiit,|4||||
WoCap.048|hetniiteheibei'een.|5||||
WoCap.049|wohei|1||||
WoCap.049|nenee':|2||||
WoCap.049|niine'eehek|3||||
WoCap.049|nehe'|4||||
WoCap.049|hisei;|5||||
WoCap.050|he'ne'iini|1||||
WoCap.050|neeneenou'ut.|2||||
WoCap.051|toonhoobeihiitono,|1||||
WoCap.051|toonhee[s]ciiP:|2||||
WoCap.052|wooxoho,|1||||
WoCap.052|wo'ei3|2||||
WoCap.052|hiisoho'|3||||
WoCap.052|ce'eino3o,|4||||
WoCap.052|wohei|5||||
WoCap.052|ho'uwoono3o,|6||||
WoCap.052|ho'uwoono3o|7||||
WoCap.052|wohei|8||||
WoCap.052|konbehiihi'.|9||||
WoCap.053|neeneisniiniisiheihiinou'u,|1||||
WoCap.053|hi'in|2||||
WoCap.053|nenee';|3||||
WoCap.054|heetcih'eeneixoohoo3ihei'een.|1||||
WoCap.055|heetebinou[huuni'].|1||||
WoCap.056|neihoowno'o3e'ineebe.|1||||
WoCap.057|hi'in|1||||
WoCap.057|hee3eeniini|2||||
WoCap.057|no'uxoheihin|3||||
WoCap.057|hiitiino,|4||||
WoCap.057|neneeninee|5||||
WoCap.057|hinono'eino'.|6||||
WoCap.058|wohei.|1||||
WoCap.059|wohei|1||||
WoCap.059|ne'iini|2||||
WoCap.059|heenei'towuunoot:|3||||
WoCap.060|hiisoho'|1||||
WoCap.060|ne'niistoonee;|2||||
WoCap.060|hiisoho'|3||||
WoCap.060|he'ne'niistoonee.|4||||
WoCap.061|niiyou|1||||
WoCap.061|niiyou|2||||
WoCap.061|heecxooyei'oo'.|3||||
WoCap.062|konoo'oeniini|1||||
WoCap.062|benii'owuuniisiini'.|2||||
WoCap.063|konoo'oenehbiice'.|1||||
WoCap.064|nee'eeP|1||||
WoCap.064|khoo,|2||||
WoCap.064|heetniini|3||||
WoCap.064|heenei'towuune3enee.|4||||
WoCap.065|wohei|1||||
WoCap.065|nuhu'|2||||
WoCap.065|heesinihii3inee,|3||||
WoCap.065|heetniini|4||||
WoCap.065|hooxoebiinetino'.|5||||
WoCap.066|heetcee'ihe3enee|1||||
WoCap.066|niiyou|2||||
WoCap.066|heeneesniiitowoonee.|3||||
WoCap.067|wohei|1||||
WoCap.067|he'ne'eenei'towuunoot|2||||
WoCap.067|nuhu'|3||||
WoCap.067|heesoo'|4||||
WoCap.067|hiine'etiiwoohuut|5||||
WoCap.067|niiinon.|6||||
WoCap.068|niiinon|1||||
WoCap.068|khoo|2||||
WoCap.068|hiisoho'.|3||||
WoCap.069|ne'eenei'towuunoot,|1||||
WoCap.069|heeneixoohoo3ihoot|2||||
WoCap.069|niiskooneniitooni',|3||||
WoCap.069|wo'ei3|4||||
WoCap.069|konniis3o'uwu'uwunootiini',|5||||
WoCap.069|wohei|6||||
WoCap.069|tih'iiniiheniini,|7||||
WoCap.069|heeneisibiinou'u|8||||
WoCap.069|biibinootno.|9||||
WoCap.070|he'ne'P|1||||
WoCap.070|heihii;|2||||
WoCap.071|nenee':|1||||
WoCap.072|wohei|1||||
WoCap.072|heetneeneisiixoo[hoo]3ihoot|2||||
WoCap.072|niiniiteiniihi',|3||||
WoCap.072|heeneecxooyei'ou'u,|4||||
WoCap.072|hi'P|5||||
WoCap.072|tih'iibenii'owuuni',|6||||
WoCap.072|wohei|7||||
WoCap.072|nuhu'|8||||
WoCap.072|tih'iibiiceniisiini',|9||||
WoCap.072|wohei|10||||
WoCap.072|nuhu'|11||||
WoCap.072|heeneisetei'i|12||||
WoCap.072|niiyou|13||||
WoCap.072|nuhu'|14||||
WoCap.072|biibinootno.|15||||
WoCap.073|tootoyoohobetiit.|1||||
WoCap.074|ne'noono'xoo',|1||||
WoCap.074|heeneisno'xoo':|2||||
WoCap.075|hi'in|1||||
WoCap.075|heeneisniiniiteheiwoot,|2||||
WoCap.075|heeneise'enou'uheihiinou'u|3||||
WoCap.075|nuhu'|4||||
WoCap.075|ni'iiniisiine'etiitooni'.|5||||
WoCap.076|wohei|1||||
WoCap.076|ne'nih'eeneisoo'.|2||||
WoCap.077|kookooneniit,|1||||
WoCap.077|niiinono|2||||
WoCap.077|heiitono,|3||||
WoCap.077|nohuusoho';|4||||
WoCap.078|bisiihi'|1||||
WoCap.078|neeneitoxneniinoo'|2||||
WoCap.078|niiyou|3||||
WoCap.078|nuhu'|4||||
WoCap.078|hiine'etiiwoohuut;|5||||
WoCap.079|wonoo3ee'|1||||
WoCap.079|khoo|2||||
WoCap.079|heenei'towuunoot.|3||||
WoCap.080|heenei'towuunoot|1||||
WoCap.080|nuhu'|2||||
WoCap.080|hetneeneisP|3||||
WoCap.080|heenee3e'inou'u.|4||||
WoCap.081|kookon|1||||
WoCap.081|tih'iiciiteneihiinoo'|2||||
WoCap.081|heeyouhuu.|3||||
WoCap.082|beexo'uuhu'|1||||
WoCap.082|nee'eeneestoowoohuutooni'.|2||||
WoCap.083|wohei|1||||
WoCap.083|he'ne'eeneixoohoo3ihoot|2||||
WoCap.083|nuhu',|3||||
WoCap.083|nuhu'|4||||
WoCap.083|neniteeno,|5||||
WoCap.083|hiseino.|6||||
WoCap.084|wohei|1||||
WoCap.084|hinenno',|2||||
WoCap.084|hi'in|3||||
WoCap.084|tih'iiwoniinoo'ei3i',|4||||
WoCap.084|tih'iiwon-iinoo'P,|5||||
WoCap.084|wohei|6||||
WoCap.084|ci'eenei'towuunoot,|7||||
WoCap.084|honoot|8||||
WoCap.084|niihenheesP.|9||||
WoCap.085|yeihonP|1||||
WoCap.085|yeihowoonooxebii,|2||||
WoCap.085|hi'in|3||||
WoCap.085|nenee',|4||||
WoCap.085|heetceestooP.|5||||
WoCap.086|wohei|1||||
WoCap.086|hi'in|2||||
WoCap.086|ceniihoot.|3||||
WoCap.087|wohei|1||||
WoCap.087|nenee'|2||||
WoCap.087|khoo.|3||||
WoCap.088|wohei|1||||
WoCap.088|nenee'|2||||
WoCap.088|heenei'towuunoot;|3||||
WoCap.089|neeneisiini|1||||
WoCap.089|tih'iinii3niiniihobeit|2||||
WoCap.089|niiyou|3||||
WoCap.089|yeihowoot,|4||||
WoCap.089|yeihowoonooxebii.|5||||
WoCap.090|wohei|1||||
WoCap.090|hi'in,|2||||
WoCap.090|tih'iiceniihootiini'.|3||||
WoCap.091|wohei|1||||
WoCap.091|nenee'|2||||
WoCap.091|heeseenei'to[wuunoot],|3||||
WoCap.091|wootii|4||||
WoCap.091|neeyei3eihoot|5||||
WoCap.091|niine'eenino|6||||
WoCap.091|nuhu'|7||||
WoCap.091|neniteeno,|8||||
WoCap.091|woo'teenouhu3i'|9||||
WoCap.091|Ute|10||||
WoCap.091|Indians.|11||||
WoCap.092|heeneisP|1||||
WoCap.092|heeneecxooyei'ou'u|2||||
WoCap.092|nuhu'|3||||
WoCap.092|cec:|4||||
WoCap.093|benii'owuuni',|1||||
WoCap.093|biiceniihi'|2||||
WoCap.093|toyouniihi',|3||||
WoCap.093|wohei|4||||
WoCap.093|ceciniihi',|5||||
WoCap.093|konheenei3iini.|6||||
WoCap.094|wohei|1||||
WoCap.094|nih'eeneecxooyei'oo',|2||||
WoCap.094|betoootnohok,|3||||
WoCap.094|'oh|4||||
WoCap.094|nih'iibeebeteee3i'.|5||||
WoCap.095|houteyoonoono.|1||||
WoCap.096|noh|1||||
WoCap.096|ko'oeyo|2||||
WoCap.096|ko'oeyo|3||||
WoCap.096|ko'oeyo|4||||
WoCap.096|beh'eeneixoohoo3ihoot|5||||
WoCap.096|heesneeneisoo',|6||||
WoCap.096|heeneisiine'etiitooni':|7||||
WoCap.097|nuhu'|1||||
WoCap.097|kooneniit|2||||
WoCap.097|noh|3||||
WoCap.097|nuhu'|4||||
WoCap.097|buffalo|5||||
WoCap.097|hides,|6||||
WoCap.097|heekoho'|7||||
WoCap.097|ni'iiteesnokohuutooni',|8||||
WoCap.097|wo'ei3|9||||
WoCap.097|tooyowsineetiini'|10||||
WoCap.097|nuhu'|11||||
WoCap.097|hide|12||||
WoCap.097|nenee'.|13||||
WoCap.098|wohei|1||||
WoCap.098|ne'eeneisniiniitehei[woot],|2||||
WoCap.098|heeneiseineewoot.|3||||
WoCap.099|behiihi',|1||||
WoCap.099|beexo'uuhu'|2||||
WoCap.099|huune'etiit,|3||||
WoCap.099|tohbeetnee'eesi'iine'etii3i'|4||||
WoCap.099|niine'eeno'|5||||
WoCap.099|woo'teeneihi3i'.|6||||
WoCap.100|nuhu'|1||||
WoCap.100|hiseino'|2||||
WoCap.100|heeneixoohootowoo3i'|3||||
WoCap.100|behiihi'.|4||||
WoCap.101|heeneixoohoo3ihoot|1||||
WoCap.101|hinenno|2||||
WoCap.101|nuhu'|3||||
WoCap.101|khoo|4||||
WoCap.101|hiisiinoo'ei3i'.|5||||
WoCap.102|wohei|1||||
WoCap.102|nenee'.|2||||
WoCap.103|wohei|1||||
WoCap.103|ne'nih'iisiine'etiit|2||||
WoCap.103|hinee.|3||||
WoCap.104|wohei|1||||
WoCap.104|ne'niiyou,|2||||
WoCap.104|hei'noxowunoonoo3iitoneit,|3||||
WoCap.104|niixoo|4||||
WoCap.104|nonoo3iitonoot.|5||||
WoCap.105|hoowkohtowuhe'.|1||||
WoCap.106|wohei|1||||
WoCap.106|hee3eit|2||||
WoCap.106|niine'eeno,|3||||
WoCap.106|niiyou|4||||
WoCap.106|nuhu'|5||||
WoCap.106|socket|6||||
WoCap.106|ciitoowuu'.|7||||
WoCap.107|ni'noh'oenowunehk|1||||
WoCap.107|nuhu'|2||||
WoCap.107|hix,|3||||
WoCap.107|ni'noh'oenowunehk,|4||||
WoCap.107|'oh|5||||
WoCap.107|heetciineneen.|6||||
WoCap.108|[heet]neeckoohun.|1||||
WoCap.109|'oh|1||||
WoCap.109|hu'un|2||||
WoCap.109|honouuneenou'u.|3||||
WoCap.110|nenitee[no']|1||||
WoCap.110|hoowuni'noh'oenowuu.|2||||
WoCap.111|wohei|1||||
WoCap.111|nehe'|2||||
WoCap.111|hisei|3||||
WoCap.111|yeh|4||||
WoCap.111|biito'owu'|5||||
WoCap.111|ne'P|6||||
WoCap.111|khoo|7||||
WoCap.111|noh'oeno'.|8||||
WoCap.112|honouuneenou'u.|1||||
WoCap.113|hoowuni'iisiit[en].|1||||
WoCap.114|'oh|1||||
WoCap.114|'oh|2||||
WoCap.114|hiisnoh'oe[no'],|3||||
WoCap.114|hiisiiteno',|4||||
