ref|word|num|dep|label|dep2|label2
WoSt2.001|Yeah|1||||
WoSt2.001|my|2||||
WoSt2.001|cousins,|3||||
WoSt2.001|their|4||||
WoSt2.001|old|5||||
WoSt2.001|great|6||||
WoSt2.001|grandmother,|7||||
WoSt2.001|they|8||||
WoSt2.001|knew,|9||||
WoSt2.001|it's|10||||
WoSt2.001|been|11||||
WoSt2.001|handed|12||||
WoSt2.001|down|13||||
WoSt2.001|like|14||||
WoSt2.001|that|15||||
WoSt2.001|you|16||||
WoSt2.001|know|17||||
WoSt2.001|to|18||||
WoSt2.001|the|19||||
WoSt2.001|family,|20||||
WoSt2.001|knowing|21||||
WoSt2.001|what|22||||
WoSt2.001|was|23||||
WoSt2.001|what.|24||||
WoSt2.002|Nehe'|1||||
WoSt2.002|uhh,|2||||
WoSt2.002|nehe'|3||||
WoSt2.002|neci'ook|4||||
WoSt2.002|is|5||||
WoSt2.002|her|6||||
WoSt2.002|name.|7||||
WoSt2.003|She's|1||||
WoSt2.003|gone|2||||
WoSt2.003|now.|3||||
WoSt2.004|She|1||||
WoSt2.004|was|2||||
WoSt2.004|my|3||||
WoSt2.004|younger|4||||
WoSt2.004|cousin.|5||||
WoSt2.005|Neci'ook,|1||||
WoSt2.005|uhm-hmm,|2||||
WoSt2.005|water|3||||
WoSt2.005|woman,|4||||
WoSt2.005|I|5||||
WoSt2.005|guess.|6||||
WoSt2.006|Hini'iiwoho',|1||||
WoSt2.006|well|2||||
WoSt2.006|I|3||||
WoSt2.006|should|4||||
WoSt2.006|say|5||||
WoSt2.006|nei'eibeih'inoo,|6||||
WoSt2.006|they|7||||
WoSt2.006|were|8||||
WoSt2.006|coming.|9||||
WoSt2.007|He'ihcoono'|1||||
WoSt2.007|huu3e'|2||||
WoSt2.007|nihii,|3||||
WoSt2.007|nuhu',|4||||
WoSt2.007|that's,|5||||
WoSt2.007|what|6||||
WoSt2.007|do|7||||
WoSt2.007|you|8||||
WoSt2.007|call|9||||
WoSt2.007|it|10||||
WoSt2.007|now,|11||||
WoSt2.007|bei'i,|12||||
WoSt2.007|bei'i'einiiciihehe'|13||||
WoSt2.007|he'ihcoono',|14||||
WoSt2.007|nih'iitoo3i'|15||||
WoSt2.007|nuhu'|16||||
WoSt2.007|hinono'eino';|17||||
WoSt2.008|hinit|1||||
WoSt2.008|nih'ootii3i'.|2||||
WoSt2.009|Noh|1||||
WoSt2.009|hiso'oneihi3i',|2||||
WoSt2.009|nuh'uuno|3||||
WoSt2.009|nih'oo3ou'u|4||||
WoSt2.009|nih'ootii3i'|5||||
WoSt2.009|hinit.|6||||
WoSt2.010|He'ih'oxobei'i|1||||
WoSt2.010|nuhu'|2||||
WoSt2.010|nihii,|3||||
WoSt2.010|nih'oo3ou'u.|4||||
WoSt2.011|Nihii,|1||||
WoSt2.011|nih'oo3ouwoxuu,|2||||
WoSt2.011|'oh|3||||
WoSt2.011|nuhu'|4||||
WoSt2.011|heenei'isiihi'|5||||
WoSt2.011|kee'in?|6||||
WoSt2.012|and,|1||||
WoSt2.012|uhh,|2||||
WoSt2.012|hih'oowbii3ino'.|3||||
WoSt2.013|Heetniibeetnohkuuxoniheino'.|1||||
WoSt2.014|Heetneihoowbii3in,|1||||
WoSt2.014|they|2||||
WoSt2.014|said.|3||||
WoSt2.015|They|1||||
WoSt2.015|just|2||||
WoSt2.015|threw|3||||
WoSt2.015|it|4||||
WoSt2.015|in|5||||
WoSt2.015|a|6||||
WoSt2.015|pile,|7||||
WoSt2.015|you|8||||
WoSt2.015|know,|9||||
WoSt2.015|he'ihco'ooyeitiino'.|10||||
WoSt2.016|he'ih'ooyeiko'usetiino'|1||||
WoSt2.016|nuhu'|2||||
WoSt2.016|nih'oo3ouwoxuu.|3||||
WoSt2.017|Nuhu'|1||||
WoSt2.017|hoonoxobeiitooninoo,|2||||
WoSt2.017|hih'oowbii3ino'.|3||||
WoSt2.018|Noh|1||||
WoSt2.018|huut|2||||
WoSt2.018|ne'nih'ii'cei3iihi3i',|3||||
WoSt2.018|hinee|4||||
WoSt2.018|Powder|5||||
WoSt2.018|River|6||||
WoSt2.018|ni'iihi'.|7||||
WoSt2.019|Noh|1||||
WoSt2.019|ne'nih'ii'toyeinousi'i.|2||||
WoSt2.020|he'ihtoyeinousino'.|1||||
WoSt2.021|Ne'ino'P|1||||
WoSt2.021|ne'cihce'ce3ei'oo3i'.|2||||
WoSt2.022|Nihce3ei'oo3i'|1||||
WoSt2.022|nuhu'.|2||||
WoSt2.023|ciinowo'onsee3i'|1||||
WoSt2.023|hiisoho'|2||||
WoSt2.023|noh|3||||
WoSt2.023|nuhu',|4||||
WoSt2.023|tohciinowo'onsee3i'|5||||
WoSt2.023|nuhu'|6||||
WoSt2.023|honoh'oho',|7||||
