ref|word|num|dep|label|dep2|label2
ABoy.001|wohei|1||||
ABoy.001|noh|2||||
ABoy.001|ci'ceese'|3||||
ABoy.001|hoo3itoo,//|4||||
ABoy.001|heetnoo3itoone3en.|5||||
ABoy.002|3iwoo|1||||
ABoy.002|ceh'e3tii'!//|2||||
ABoy.003|teecxo'|1||||
ABoy.003|hinee|2||||
ABoy.003|hinee|3||||
ABoy.003|heeneisP|4||||
ABoy.003|heetee,|5||||
ABoy.003|3iwoo|6||||
ABoy.003|nih'iisiine'etii3i'|7||||
ABoy.003|hinee|8||||
ABoy.003|neniteeno'.|9||||
ABoy.004|beexo'uuhu'|1||||
ABoy.004|niiinone';//|2||||
ABoy.005|neseihiiniine'etii3i'.//|1||||
ABoy.006|nih'iistonou'u|1||||
ABoy.006|beh'eihoho',|2||||
ABoy.007|nihneseihi3i'.|1||||
ABoy.008|noh|1||||
ABoy.008|neniteeno',|2||||
ABoy.008|3owo3neniteeno',|3||||
ABoy.008|hinono'eino',|4||||
ABoy.008|hiiwoonhehe'|5||||
ABoy.008|'oh|6||||
ABoy.008|heesoo'|7||||
ABoy.008|ceencei'soo'.|8||||
ABoy.009|wohei|1||||
ABoy.009|hinee|2||||
ABoy.009|honoh'oehehihi'|3||||
ABoy.009|heetni'oo3itoone3enee,//|4||||
ABoy.009|tei'yoononoh'oehihi',|5||||
ABoy.009|honoh'oe,|6||||
ABoy.009|heecoxookei;|7||||
ABoy.010|bebene|1||||
ABoy.010|nihii|2||||
ABoy.011|//|1||||
ABoy.011|neesootoxunei'iini|2||||
ABoy.011|cecniwo,//|3||||
ABoy.011|wo'ei3|4||||
ABoy.011|he'niisootoxcecniwo.|5||||
ABoy.012|hoowbeexookei.|1||||
ABoy.013|''wohei|1||||
ABoy.013|ne'iini''|2||||
ABoy.013|hee3oohok|3||||
ABoy.013|''nuhu'|4||||
ABoy.013|nuhu'|5||||
ABoy.013|nuhu'|6||||
ABoy.013|coo3o'|7||||
ABoy.013|heebiitebei3i'|8||||
ABoy.013|woxhooxebii.''|9||||
ABoy.014|nih'iihee3ebi3ookuhoo3i'|1||||
ABoy.014|hehniisootoxu3i'|2||||
ABoy.014|heniihoho'neihi3i'|3||||
ABoy.014|honoh'oe.|4||||
ABoy.015|heniihoho'neihi3i'.|1||||
ABoy.016|beneexo'eihi3i',|1||||
ABoy.016|nenii3inoo3i'|2||||
ABoy.016|nuhu'|3||||
ABoy.016|yeihonoo-|4||||
ABoy.016|yeihowoonooxebii.|5||||
ABoy.017|yeihonoo-|1||||
ABoy.017|niini'iiyeihowootiini'|2||||
ABoy.017|woxhooxebii,|3||||
ABoy.017|nenee3i'|4||||
ABoy.017|hiteexokuutooninoo.|5||||
ABoy.018|wohei|1||||
ABoy.018|nehe'|2||||
ABoy.018|honoh'oe|3||||
ABoy.018|ne'niiitowoot|4||||
ABoy.018|nuhu'|5||||
ABoy.018|nonookeihini3;|6||||
ABoy.019|toonnonookeihit.|1||||
ABoy.020|heetnii|1||||
ABoy.021|''nebesiiwoo,|1||||
ABoy.021|heetihcihceestonin.|2||||
ABoy.022|heetniihobeinoo|1||||
ABoy.022|heetihnii3nowoono'|2||||
ABoy.022|niixoo|3||||
ABoy.022|he'ii3ou'u,|4||||
ABoy.022|tohbi'niisneniino'.|5||||
ABoy.023|heetebinouhuunino'.|1||||
ABoy.024|3iwoo,|1||||
ABoy.024|heetihcihxouuwoo3ibin.''|2||||
ABoy.025|''wohei|1||||
ABoy.025|wohei|2||||
ABoy.025|neeco'oo!|3||||
ABoy.025|heetniini|4||||
ABoy.025|niiniisihe3en;|5||||
ABoy.026|heetwoowoxu'oo3e3en.|1||||
ABoy.027|nuhu'|1||||
ABoy.027|beh'eihoho',|2||||
ABoy.027|''heetnoo3i'eewou'u|3||||
ABoy.027|heetihcihwoniini|4||||
ABoy.027|cooh'owuuneinoni,|5||||
ABoy.027|heetihwoxu'oo3einoni,''|6||||
ABoy.027|hee3eit.|7||||
ABoy.028|wohei|1||||
ABoy.028|nee'eestoo3i'.|2||||
ABoy.029|beh'eihoho'|1||||
ABoy.029|ne'nou'see3i'.|2||||
ABoy.030|woxu'oo3eit|1||||
ABoy.030|nuhu'|2||||
ABoy.030|beh'eihoho.|3||||
ABoy.031|heetniiceesiiniit.|1||||
ABoy.032|heetnee'ino'|1||||
ABoy.032|heestoot|2||||
ABoy.032|nuhu',|3||||
ABoy.032|tohniiitowoot|4||||
ABoy.032|nuhu'|5||||
ABoy.032|nonookeihini3|6||||
ABoy.032|woxhooxebii.|7||||
ABoy.033|wohei|1||||
ABoy.033|ne'niistiit.|2||||
ABoy.034|''wohei|1||||
ABoy.034|heetniinoohowoti.|2||||
ABoy.035|heetnoohoo3ein//|1||||
ABoy.035|nuhu'|2||||
ABoy.035|hee3e'eini|3||||
ABoy.035|heehkuhneet|4||||
ABoy.035|niine'eehek|5||||
ABoy.035|nehe'|6||||
ABoy.035|coo3o'|7||||
ABoy.035|nohkuuhu'|8||||
ABoy.035|woxhooxebii,|9||||
ABoy.035|heebiitooxobeit.”|10||||
ABoy.036|''wohei|1||||
ABoy.036|heetniihobeinoo''|2||||
ABoy.036|hee3oohok|3||||
ABoy.036|nuhu'|4||||
ABoy.036|hibesiiwoho'|5||||
ABoy.036|nehe'|6||||
ABoy.036|honoh'oe.|7||||
ABoy.037|wohei|1||||
ABoy.037|ne'niihobeit.|2||||
ABoy.038|wohei|1||||
ABoy.038|ne'niitobeet.|2||||
ABoy.039|nonoohooto'|1||||
ABoy.039|niiyou|2||||
ABoy.039|nuhu'|3||||
ABoy.039|heetnooxeihini3i;|4||||
ABoy.040|biikooniihi'|1||||
ABoy.040|wootii|2||||
ABoy.040|hiisiiniihi'|3||||
ABoy.040|heesnoohooto'.|4||||
ABoy.041|wohei|1||||
ABoy.041|ne'nee'ei'ce3ei'oo3i';|2||||
ABoy.042|ceecisiikoh-ei3i',|1||||
ABoy.042|ceecisiikohei3i'|2||||
ABoy.042|niine'eeno'|3||||
ABoy.042|woniini|4||||
ABoy.043|3onookuhoo3i'|1||||
ABoy.043|niine'een|2||||
ABoy.043|nuhu'|3||||
ABoy.043|coo3o'|4||||
ABoy.043|heebiitooxobeini3.|5||||
ABoy.044|3ebiihi'|1||||
ABoy.044|he'iicis,|2||||
ABoy.044|hee3ebciisiniihiihi',|3||||
ABoy.044|3ebiihi'|4||||
ABoy.044|hihciniihiihi'|5||||
ABoy.044|hinee|6||||
ABoy.044|niiciihehe'.//|7||||
ABoy.045|wohei|1||||
ABoy.045|3ebiihi'|2||||
ABoy.045|hinee|3||||
ABoy.045|heetniicoo',|4||||
ABoy.045|hinee|5||||
ABoy.045|hohe',|6||||
ABoy.045|hohe'niini'|7||||
ABoy.045|3ebcii3iihi'|8||||
ABoy.045|he3ebiihi'.|9||||
ABoy.046|he'ne'toe'sohowuunoot|1||||
ABoy.046|niine'eenino|2||||
ABoy.046|nuhu'.|3||||
ABoy.047|hooweenetino';|1||||
ABoy.048|hooween[etino']|1||||
ABoy.049|beni'beebee3sohowuuneti3i'.|1||||
ABoy.050|hoowee-|1||||
ABoy.050|...|2||||
ABoy.051|nenee':|1||||
ABoy.052|toe'soh[owuun].|1||||
ABoy.053|ne'toukutooxebei3i'|1||||
ABoy.053|hinit|2||||
ABoy.053|neeheyeiniihi',|3||||
ABoy.053|hinit|4||||
ABoy.053|hinee.|5||||
ABoy.054|heetne'inonoot|1||||
ABoy.054|nuhu',|2||||
ABoy.054|niine'een|3||||
ABoy.054|nuhu'|4||||
ABoy.054|coo3o'|5||||
ABoy.054|nohkuuhu'|6||||
ABoy.054|woxhooxebii.|7||||
ABoy.055|hiit|1||||
ABoy.055|heeneentooni3i,|2||||
ABoy.055|heetP|3||||
ABoy.055|he'ne'P|4||||
ABoy.055|he'neenooxobeit.|5||||
ABoy.056|''niine'eehek|1||||
ABoy.056|nehe'|2||||
ABoy.056|coo3o'|3||||
ABoy.056|heebiitooxobeit,|4||||
ABoy.056|[hi]3oowuukoo';|5||||
ABoy.057|nee'eetoot,''|1||||
ABoy.057|hee3oohok|2||||
ABoy.057|nuhu'|3||||
ABoy.057|niine'eenino|4||||
ABoy.057|hinenno|5||||
ABoy.057|niine'eehek|6||||
ABoy.057|nuhu'|7||||
ABoy.057|honoh'oehihi'.|8||||
ABoy.058|“heetneeninoo,|1||||
ABoy.058|heetneeninoo|2||||
ABoy.058|tohwontounineenoo.|3||||
ABoy.059|heetwoniini|1||||
ABoy.059|heetwontounineenoo.|2||||
ABoy.060|heetwoniini|1||||
ABoy.060|3iikone'eiso'|2||||
ABoy.060|heetihnii3inowoo|3||||
ABoy.060|heeyouhuu,|4||||
ABoy.060|hi'in|5||||
ABoy.060|heesnii3nowoonee,”|6||||
