ref|word|num|dep|label|dep2|label2
BlCl.001|wohei|1||||
BlCl.001|teecxo',|2||||
BlCl.001|tih'eeneiniihi3i'|3||||
BlCl.001|nuh'uuno|4||||
BlCl.001|nono'eino'.|5||||
BlCl.002|heeneetooni3i|1||||
BlCl.002|hii3einoon|2||||
BlCl.002|'oh|3||||
BlCl.002|he'ih'iinoo'ei|4||||
BlCl.002|huut;|5||||
BlCl.002|wootii|6||||
BlCl.002|he'ih'iito3iheeno'.|7||||
BlCl.003|wohei|1||||
BlCl.003|hinee|2||||
BlCl.003|nehe'|3||||
BlCl.003|hinen|4||||
BlCl.003|noh|5||||
BlCl.003|hibetebihow,|6||||
BlCl.003|he'ihniisneniino';|7||||
BlCl.004|'oh|1||||
BlCl.004|nuhu'|2||||
BlCl.004|hitoono|3||||
BlCl.004|he'ih'iisin,|4||||
BlCl.004|noko3inP;|5||||
BlCl.005|niiinone'|1||||
BlCl.005|he'ne'nih'iitoo3i'.|2||||
BlCl.006|'oh|1||||
BlCl.006|he'ih'iiciini'eenebe'|2||||
BlCl.006|nuhu'|3||||
BlCl.006|hi3e'exunoo.|4||||
BlCl.007|niino'o3no'ookeit,|1||||
BlCl.007|'oh|2||||
BlCl.007|hiihoowcih'oxobei'i.|3||||
BlCl.008|hetebinouhuuni3i'.|1||||
BlCl.009|“wohei,”|1||||
BlCl.009|heehehk|2||||
BlCl.009|nehe'|3||||
BlCl.009|hinen,|4||||
BlCl.009|“hetcih'iise'enou'u.|5||||
BlCl.010|heetnotiihou'u|1||||
BlCl.010|hii3einoon.|2||||
BlCl.011|heetneyeineh'eheinoo.”|1||||
BlCl.012|“'ine,”|1||||
BlCl.012|heehehk|2||||
BlCl.012|betebi,|3||||
BlCl.012|“heetniise'enou'uhe3en.|4||||
BlCl.013|beete',|1||||
BlCl.013|ho3ii,|2||||
BlCl.013|wooxe,|3||||
BlCl.013|heetceece'eekutiinoo;|4||||
BlCl.014|heetniiwookoxone3en,”|1||||
BlCl.014|hee3eihok.|2||||
BlCl.015|“he'iitnei'i|1||||
BlCl.015|heebeh'esnee;|2||||
BlCl.016|heetbii3ihin.”|1||||
BlCl.017|wohei|1||||
BlCl.017|hi3e'exunoo|2||||
BlCl.017|hiihoowbeetcih'oxobei'i.|3||||
BlCl.018|he'ih'ei'towuunee|1||||
BlCl.018|hiseihihi',|2||||
BlCl.018|hiniite'etiiwooon,|3||||
BlCl.018|“ciibehP|4||||
BlCl.018|ciibeh'e3ewoxowunee!|5||||
BlCl.019|ciibeh'ini!|1||||
BlCl.020|heebehnoono'ote'eihe3,”|1||||
BlCl.020|hee3oohok.|2||||
BlCl.021|“3eboxow,|1||||
BlCl.021|3eboxow,|2||||
BlCl.021|heebeh'oxowoono',|3||||
BlCl.021|'oh|4||||
BlCl.021|heetniini,|5||||
BlCl.021|heetniini|6||||
BlCl.021|seese'tebe'eihi3en.”|7||||
BlCl.022|hiit|1||||
BlCl.022|neneenini'|2||||
BlCl.022|nihi'iixoot.|3||||
BlCl.023|hoowbeetooto'obe'.|1||||
BlCl.024|ne'niicii'oxowoot.|1||||
BlCl.025|hiikoot|1||||
BlCl.025|he'ih'ei'towuunee|2||||
BlCl.025|nuhu'|3||||
BlCl.025|hiniihei'i,|4||||
BlCl.025|“niibeetcih'oxobe3enee;|5||||
BlCl.026|'oh|1||||
BlCl.026|niitotoubeinoo,|2||||
BlCl.026|nee'eestoonoohok,|3||||
BlCl.026|noh|4||||
BlCl.026|heetnoono'ote'eiheinoo.|5||||
BlCl.027|neihoowbeetnoono'ote'eihe'.|1||||
BlCl.028|ne'niiciicih'oxobe3enee.”|1||||
BlCl.029|howoo|1||||
BlCl.029|he'ihbi'neeno'xotonee|2||||
BlCl.029|hoseino'.|3||||
BlCl.030|he'ih'iibi'neeno'xotonee.|1||||
BlCl.031|“nuhu'|1||||
BlCl.031|hetbii3wooteebe,|2||||
BlCl.031|hetbii3ibe.”|3||||
BlCl.032|he'ne'nih'ii3P|1||||
BlCl.032|he'ne'nih'eenei3e'inou'u|2||||
BlCl.032|nuhu'|3||||
BlCl.032|beh'eihoho'|4||||
BlCl.032|hi3e'exunoo|5||||
BlCl.032|hoowni'eenebei'i.|6||||
BlCl.033|wohei|1||||
BlCl.033|ne'iise'enou'uheihit.|2||||
BlCl.034|heetce3ei'oot.|1||||
BlCl.035|heet3ebiini,|1||||
BlCl.035|heet3ebiihi',|2||||
BlCl.035|heet3ebiinisee[t].|3||||
BlCl.036|hoownoohobee|1||||
BlCl.036|hii3einoon.|2||||
BlCl.037|ne'toyeinousi'.|1||||
BlCl.038|ne'ihP|1||||
BlCl.038|ciisiniihiihi',|2||||
BlCl.038|'oh|3||||
BlCl.038|ne'bisiseeni3|4||||
BlCl.038|ceexoon.|5||||
BlCl.039|wohei|1||||
BlCl.039|heetneyeinotino3o'|2||||
BlCl.039|hinee.|3||||
BlCl.040|3ebiinoononouP|1||||
BlCl.040|noo-nonoukoohut|2||||
BlCl.040|heetoh3i'ookuuni3,|3||||
BlCl.040|heetohcooco'oo'oeni'i.|4||||
BlCl.041|hee3ebiini|1||||
BlCl.041|kookotousihcehit.|2||||
BlCl.042|3ebiihi'|1||||
BlCl.042|nooxownou'uxootonoot.|2||||
BlCl.043|noh|1||||
BlCl.043|howoo|2||||
BlCl.043|hee'inoneit.|3||||
BlCl.044|he'ih'iicihnei'oohobe'|1||||
BlCl.044|ceecebtee'eekuu.|2||||
BlCl.045|ne'nii'biibiinoheini3.|1||||
BlCl.046|beneetyeihoneit.|1||||
BlCl.047|beni'eeneinouseet,|1||||
BlCl.047|'oh|2||||
BlCl.047|teecxo'|3||||
BlCl.047|hee'inoneit.|4||||
BlCl.048|wohei|1||||
BlCl.048|niihi'neetoo3iini,|2||||
BlCl.048|honoot|3||||
BlCl.048|ne'noxowtoo3iini.|4||||
BlCl.049|beete'|1||||
BlCl.049|ne'iiteno',|2||||
BlCl.049|ne'nii'no'ooceino'|3||||
BlCl.049|ho3ii.|4||||
BlCl.050|wohei|1||||
BlCl.050|ne'ii3itontootiseet,|2||||
BlCl.050|ne'ehcoboot.|3||||
BlCl.051|wo'eii3ow|1||||
BlCl.051|honinoo'oon.|2||||
BlCl.052|xonou|1||||
BlCl.052|hee3ebyiiscesisihcehit.|2||||
BlCl.053|ne'ihP|1||||
BlCl.053|he'ihce'kohei'inP|2||||
BlCl.053|cee'kohei'ini3,|3||||
BlCl.053|nee'ehce3ei'ooni3;|4||||
BlCl.054|noh|1||||
BlCl.054|too3ihoot.|2||||
BlCl.055|heihii|1||||
BlCl.055|he'ih'e3ebnihi'koohun,|2||||
BlCl.055|'oh|3||||
BlCl.055|nooxowuuni|4||||
BlCl.055|neetinoo'oot.|5||||
BlCl.056|he'ih'iitoo'us.|1||||
BlCl.057|he'ihnei'oohobee|1||||
BlCl.057|3ebiihi';|2||||
BlCl.058|3ebiihi'|1||||
BlCl.058|hiiyohouseen.|2||||
BlCl.059|wohei|1||||
BlCl.059|hini'|2||||
BlCl.059|nih'iitiseeni3|3||||
BlCl.059|be'ei'eenin.|4||||
BlCl.060|neneenini'|1||||
BlCl.060|nee3ebi'to3ihoot|2||||
BlCl.060|3ebiihi'|3||||
BlCl.060|hoh'eni'.|4||||
BlCl.061|wohei|1||||
BlCl.061|nih'ini,|2||||
BlCl.061|wohei|3||||
BlCl.061|he'ihceenokun.|4||||
BlCl.062|he'ihceenokun.|1||||
BlCl.063|he'ihno'o3iitoo;|1||||
BlCl.063|be'ei'einootee.|2||||
BlCl.064|toonhei'ce'kohei'ini3,|1||||
BlCl.064|'oh|2||||
BlCl.064|neesiini|3||||
BlCl.064|neesco'oowuseet|4||||
BlCl.064|be'.|5||||
BlCl.065|wohei|1||||
BlCl.065|nih'ii3ookuuxunoo'oo',|2||||
BlCl.065|ciinoo'onei'oo'.|3||||
BlCl.066|he'ihcoontebee.|1||||
BlCl.067|he'ih'iiP|1||||
BlCl.067|nooxeihi'|2||||
BlCl.067|cee'iiP|3||||
BlCl.067|heecoho'ooni3.|4||||
BlCl.068|ne'ehce'woohoniini|1||||
BlCl.068|hi'in|2||||
BlCl.068|hii3einoon.|3||||
BlCl.069|wohei|1||||
BlCl.069|noonoko',|2||||
BlCl.069|nehe'|3||||
BlCl.069|be'|4||||
BlCl.069|heetookootiinoo.|5||||
BlCl.070|heetP|1||||
BlCl.070|hokok|2||||
BlCl.070|heeti'niisihi'|3||||
BlCl.070|wo'ei3|4||||
BlCl.070|howoo|5||||
BlCl.070|be'eek.|6||||
BlCl.071|ne'niiseno'|1||||
BlCl.071|nuhu',|2||||
BlCl.071|ce'eeckoohut.|3||||
BlCl.072|ce'no'useet.|1||||
BlCl.073|“nihbeso'|1||||
BlCl.073|ceese',|2||||
BlCl.073|'oh|3||||
BlCl.073|nihcoontowo'.|4||||
BlCl.074|'oh|1||||
BlCl.074|nih'iitceenokut|2||||
BlCl.074|nuhu'|3||||
BlCl.074|be',|4||||
BlCl.074|nuhu'|5||||
BlCl.074|neeseinootee'.|6||||
BlCl.075|nuhu'|1||||
BlCl.075|he'ihciinoo'onno'o3iitoon|2||||
BlCl.075|wohei|3||||
BlCl.075|nehe'nih'iiP,|4||||
BlCl.075|heebehi'ooxuuxu'unoo'oo.|5||||
BlCl.076|cih'itenowoo|1||||
BlCl.076|heetihi'be'eekei'in;|2||||
BlCl.077|wo'ei3|1||||
BlCl.077|hokok|2||||
BlCl.077|heeti'niistiin.”|3||||
BlCl.078|howoo|1||||
BlCl.078|he'ihcih'e'inonei'i|2||||
BlCl.078|hi3e'exunoo.|3||||
BlCl.079|“toothih'ihoo?”|1||||
BlCl.080|“heisonoo|1||||
BlCl.080|nihneyeihiinoo'eit.”|2||||
BlCl.081|“hee,|1||||
BlCl.081|nii'iini,|2||||
BlCl.081|nooxeihi'...”|3||||
BlCl.082|“hoowneh'ehei,|1||||
BlCl.082|hoowuuni.”|2||||
BlCl.083|wohei|1||||
BlCl.083|nihii,|2||||
BlCl.083|betebihehi'|3||||
BlCl.083|he'ihkooko'ux|4||||
BlCl.083|hini'iitiino,|5||||
BlCl.083|hi'in|6||||
BlCl.083|tih'iin[onon]oo'eit,|7||||
BlCl.083|'oh|8||||
BlCl.083|nii'itiit.|9||||
BlCl.084|“noonoko'|1||||
BlCl.084|heetbisouu3etiinoo|2||||
BlCl.084|nuhu'.|3||||
BlCl.085|heetniini...”|1||||
BlCl.086|he'nee'eestoot.|1||||
BlCl.087|wohei|1||||
BlCl.087|heetniikounooho'ohei.|2||||
BlCl.088|sii'iheitiit.|1||||
BlCl.089|woow|1||||
BlCl.089|heesitee'|2||||
BlCl.089|hi'in|3||||
BlCl.089|nec.|4||||
BlCl.090|he'ihsii'ihkuutii|1||||
BlCl.090|tei'yoonehe'.|2||||
BlCl.091|ne'tootooyeito';|1||||
BlCl.091|tonootooyeito'.|2||||
