ref|word|num|dep|label|dep2|label2
Eld.001|Niitowuuhu'|1||||
Eld.001|nuhu'|2||||
Eld.001|beh'eihoho'|3||||
Eld.001|nih'iiseenetisi3i'|4||||
Eld.001|tih'eenei'towuuni3i'|5||||
Eld.001|heeyouhuu.|6||||
Eld.002|Nihii,|1||||
Eld.002|nuhu'|2||||
Eld.002|beh'eihoho'|3||||
Eld.002|nih'eeneisinihiisi3i'|4||||
Eld.002|nih'eeneisiiseineebi3i',|5||||
Eld.002|nih'ee3neeniini|6||||
Eld.002|nei'enowoo:|7||||
Eld.003|Nuhu'|1||||
Eld.003|hiini3ecoo|2||||
Eld.003|tih'eenei'towuuneenoo.|3||||
Eld.004|'oh|1||||
Eld.004|hini'|2||||
Eld.004|nei'oonoyoohootowoo|3||||
Eld.004|nuhu'|4||||
Eld.004|beh'eihoho'|5||||
Eld.004|heeneisinihiinoo3i,|6||||
Eld.004|heenei3ei'towuuninoo3i|7||||
Eld.004|ne'nih'iisini,|8||||
Eld.004|ne'nih'iisinihiinoo.|9||||
Eld.005|Nih'eenei3ei'towuuni3i'|1||||
Eld.005|neihoownonihi'.|2||||
Eld.006|'oh|1||||
Eld.006|howoo|2||||
Eld.006|neneeninoo|3||||
Eld.006|nosouniinono'eitinoo|4||||
Eld.006|hiiwoonhehe'|5||||
Eld.006|tih'eeneti3ou'u.|6||||
Eld.007|Nih'eenetisi3i'|1||||
Eld.007|noh|2||||
Eld.007|nih'iiceh'e3tiinoo.|3||||
Eld.008|Noottoninoo3i|1||||
Eld.008|heeyouhuu,|2||||
Eld.008|'oh|3||||
Eld.008|nih'iice'ei'towuunou'u|4||||
Eld.008|hibeete'iyooninoo.|5||||
Eld.009|Nihno'oteihi3i'|1||||
Eld.009|hi'in|2||||
Eld.009|beh'eihoho'|3||||
Eld.009|nih'iisiini|4||||
Eld.009|neeneyei3eihei'i3i'.|5||||
Eld.010|'oh|1||||
Eld.010|hookoh|2||||
Eld.010|nuhu'|3||||
Eld.010|hoo3oo'o'|4||||
Eld.010|toonniiciibeetei'inou'u|5||||
Eld.010|nuhu'|6||||
Eld.010|hinono'eitiit,|7||||
Eld.010|he'ihcee'inowuu.|8||||
Eld.011|he'ihciitoyou'uuwuuno'.|1||||
Eld.012|''Toyou'uuwuu,''|1||||
Eld.012|nih'ii3i'|2||||
Eld.012|nuhu'|3||||
Eld.012|beh'eihoho'|4||||
Eld.012|noh|5||||
Eld.012|nihtoyou'uuwuutooni'.|6||||
Eld.013|Noh|1||||
Eld.013|ceniiP,|2||||
Eld.013|nuhu'|3||||
Eld.013|niiciitoyou'uuwu3i'|4||||
Eld.013|kookon|5||||
Eld.013|noonohookeitoo3i'.|6||||
