ref|word|num|dep|label|dep2|label2
JGHand.001|wohei|1||||
JGHand.001|hiiyou|2||||
JGHand.001|nuhu'|3||||
JGHand.001|hei'towoo,|4||||
JGHand.001|n[ot]oo3itoo.|5||||
JGHand.002|noh|1||||
JGHand.002|neisonoo|2||||
JGHand.002|nih'ei'towuuneinoo.|3||||
JGHand.003|“Tohuubeetciiciino'onitoonee|1||||
JGHand.003|benih'iyou'u,”|2||||
JGHand.003|ne'nih'ei'towuuneino'.|3||||
JGHand.004|benih'iyou'u|1||||
JGHand.004|hoowuu3et,|2||||
JGHand.004|honoot|3||||
JGHand.004|hookonooniihi'.|4||||
JGHand.005|nenitee|1||||
JGHand.005|ne'nii'eeneiniseet,|2||||
JGHand.006|wo'ei3|1||||
JGHand.006|nee'eeneetoot,|2||||
JGHand.006|nih'ii3einoo.|3||||
JGHand.007|'oh|1||||
JGHand.007|neniiheneihin,|2||||
JGHand.007|nih'ii3einoo.|3||||
JGHand.008|nuhu'|1||||
JGHand.008|wonooniii'oo3i'|2||||
JGHand.008|neniiheneihi3i',|3||||
JGHand.008|nih'iit.|4||||
JGHand.009|hoowno'o3nii3inowuu,|1||||
JGHand.010|hii3oowu3ecooP,|1||||
JGHand.010|beneetniiheneihi3i'|2||||
JGHand.010|heesiine'etii3i':|3||||
JGHand.011|ne'nih'ii3einoo|1||||
JGHand.011|neisonoo.|2||||
JGHand.012|Wohei,|1||||
JGHand.012|nih'iit,|2||||
JGHand.012|nehe'|3||||
JGHand.012|nihii|4||||
JGHand.012|ne'nih'iitiine'etiit,|5||||
JGHand.012|nuhu'|6||||
JGHand.012|niicie,|7||||
JGHand.012|Big|8||||
JGHand.012|Wind|9||||
JGHand.012|River|10||||
JGHand.012|hiisoho'uusiihi';|11||||
JGHand.013|ne'nih'iitito'oowuuni3i'|1||||
JGHand.013|hibiito'owuuw[unoo].|2||||
JGHand.014|'oh|1||||
JGHand.014|heeP|2||||
JGHand.014|hihcebehe'|3||||
JGHand.014|he'ih'eenentoono'|4||||
JGHand.014|hinono'eino':|5||||
JGHand.015|nuhu'|1||||
JGHand.015|niicie|2||||
JGHand.015|neenei3iini.|3||||
JGHand.016|hi3oowo'|1||||
JGHand.016|tih'iisno[o]'xo[o]yei[hi]3i'|2||||
JGHand.016|hiit|3||||
JGHand.016|nuhu'|4||||
JGHand.016|heetoono'.|5||||
JGHand.017|noh|1||||
JGHand.017|he'ih'ini|2||||
JGHand.017|nee'eeneesiine'etiino',|3||||
JGHand.018|Ko{n}oxouhti3i'|1||||
JGHand.018|nuhu'|2||||
JGHand.018|biih'iyou'u.|3||||
JGHand.019|wohei|1||||
JGHand.019|hinee|2||||
JGHand.019|3ebiihi',|3||||
JGHand.019|'oh|4||||
JGHand.019|3ebiihi'|5||||
JGHand.019|wo'owuuhu',|6||||
JGHand.019|'oh|7||||
JGHand.019|he'ih'entootiin.|8||||
JGHand.020|noh|1||||
JGHand.020|he'ih'iiP|2||||
JGHand.020|he'ih'iikookoxouhtiitoon.|3||||
JGHand.021|he'ih'iikookoxouhtiibeeno'.|1||||
JGHand.022|he'ne'nih'eeneisiine'etii3i'|1||||
JGHand.022|hinee|2||||
JGHand.022|heetee:|3||||
JGHand.023|hoonoo'eiseeno';|1||||
JGHand.024|hoononowutoono'|1||||
JGHand.024|hinee|2||||
JGHand.024|niicii.|3||||
JGHand.025|wohei|1||||
JGHand.025|ne'nih'iisiini|2||||
JGHand.025|nehe'|3||||
JGHand.025|neisonoo|4||||
JGHand.025|nehe'|5||||
JGHand.025|neinoo…|6||||
JGHand.026|ne'yihoo3i',|1||||
JGHand.026|woneeneihco'oono'|2||||
JGHand.026|hiikoot.|3||||
JGHand.027|he'ih'iibii3hiitoon.|1||||
JGHand.028|he'ih'iiyeihetino'|1||||
JGHand.028|hini'iit|2||||
JGHand.028|be'eekuu,|3||||
JGHand.028|hi'in|4||||
JGHand.028|heenei'isiihi'.|5||||
JGHand.029|wohei|1||||
JGHand.029|hini'|2||||
JGHand.029|cebteenocoo,|3||||
JGHand.029|heetihbii3ino':|4||||
JGHand.029|wonitounoo!|5||||
JGHand.029|he'ih'ii3eino'.|6||||
JGHand.030|ne'ee3ebsee3i'.|1||||
JGHand.031|hiitouuk|1||||
JGHand.031|he'ihnihi'neenoon|2||||
JGHand.031|koxouhtiit.|3||||
JGHand.032|3ii3i'ookuuno'|1||||
JGHand.032|tih'iibino'P.|2||||
JGHand.033|he'ihwoo3eeno'|1||||
JGHand.033|noono'uukohei'i.|2||||
JGHand.034|nee'eesiini.|1||||
JGHand.035|wohei|1||||
JGHand.035|woow|2||||
JGHand.035|ciintootiini'.|3||||
JGHand.036|he'ihniihobei|1||||
JGHand.036|hinoohowoho'|2||||
JGHand.036|nehe'|3||||
JGHand.036|neisonoo.|4||||
JGHand.037|he'ih'e3ebiikohe'|1||||
JGHand.037|nehe'|2||||
JGHand.037|nehe'|3||||
JGHand.037|honoh'oehihi'|4||||
JGHand.037|nii3iihi'.|5||||
JGHand.038|wohei|1||||
JGHand.038|hei'ciintootiini',|2||||
JGHand.038|noh|3||||
JGHand.038|nehe'|4||||
JGHand.038|nuhu'|5||||
JGHand.038|hinoohowoho',|6||||
JGHand.038|honoh'oe,|7||||
JGHand.038|he'ihcih'ooxonkoohuuhe'.|8||||
JGHand.039|cih'ooxoneeckoohu.|1||||
JGHand.040|'oh|1||||
JGHand.040|cenoo3i'|2||||
JGHand.040|nehe'|3||||
JGHand.040|neinoo|4||||
JGHand.040|neisonoo|5||||
JGHand.040|nii3iihi'.|6||||
JGHand.041|he'-heecxo'wu'-noo3i:**|1||||
JGHand.041|hoowuciisiihi',|2||||
JGHand.042|noh|1||||
JGHand.042|ne'cih'ini,|2||||
JGHand.042|noh|3||||
JGHand.042|he'ihcihnee[he]yeiseeno'|4||||
JGHand.042|hito'oowuuninoo|5||||
JGHand.042|neisonoo|6||||
JGHand.042|noh|7||||
JGHand.042|neinoo.|8||||
JGHand.043|ne'P|1||||
JGHand.043|he'ihkohtowu3ecoono'|2||||
JGHand.043|nuhu'|3||||
JGHand.043|woxhooxebii.|4||||
