ref|word|num|dep|label|dep2|label2
MedGr.001|wohei|1||||
MedGr.001|hee3e'inowoo|2||||
MedGr.001|hootnoo3iteenoo|3||||
MedGr.001|hei'cih'iine'etiinoo.|4||||
MedGr.002|heneihyoo3oncecnibee[noo]|1||||
MedGr.002|nenebe'|2||||
MedGr.002|tihno'oetiino'|3||||
MedGr.002|tokoo3ee|4||||
MedGr.002|heetohko'einoowuuhehe'.|5||||
MedGr.003|nee'eeteebiihi'|1||||
MedGr.003|woo'oteenotoyou'u.|2||||
MedGr.004|he'ne'iixoohuce'ee'|1||||
MedGr.004|nuhu'|2||||
MedGr.004|koh'owu'.|3||||
MedGr.005|no'ukoni'|1||||
MedGr.005|benii'owuu'.|2||||
MedGr.006|noosouniinikotiino'|1||||
MedGr.006|neyeih'inoo,|2||||
MedGr.006|noh|3||||
MedGr.006|niiniihooxuusei'i|4||||
MedGr.006|hito'uwoono3o|5||||
MedGr.006|neinoo,|6||||
MedGr.006|he'biisi3einoo|7||||
MedGr.006|ne3ei3i'o',|8||||
MedGr.006|kou'ci3einiini|9||||
MedGr.006|hoxooxuuni|10||||
MedGr.006|hoho'isi'.|11||||
MedGr.007|koohoyeihit|1||||
MedGr.007|neyeitoyobeinoo.|2||||
MedGr.008|hei'towuunou'u|1||||
MedGr.008|honoh'oehiho';|2||||
MedGr.009|nihcoboo3i'|1||||
MedGr.009|ho3ii|2||||
MedGr.009|noh|3||||
MedGr.009|niiwoo'ei3i';|4||||
MedGr.010|nihi'nouutohoo3i'|1||||
MedGr.010|hiniicinoo|2||||
MedGr.010|hihi'cobootiininoo.|3||||
MedGr.011|hinit|1||||
MedGr.011|he'inowoo|2||||
MedGr.011|tihnee'eetcensinenoohok|3||||
MedGr.011|ciibeetno|4||||
MedGr.011|tohwoo3ei'i|5||||
MedGr.011|ni'iiheihi'.|6||||
MedGr.012|neihoowoe'in|1||||
MedGr.012|toonheehkoni',|2||||
MedGr.013|'oh|1||||
MedGr.013|hee'inowoo|2||||
MedGr.013|honootee'|3||||
MedGr.013|nehe'|4||||
MedGr.013|bei'i'einiicie,|5||||
MedGr.013|hihcebee|6||||
MedGr.013|tih'eniheihit|7||||
MedGr.013|cowo'oo.|8||||
MedGr.014|wohei|1||||
MedGr.014|yiisiihi'|2||||
MedGr.014|ce'i3eeniicie;|3||||
MedGr.014|he3ebiihi'|4||||
MedGr.014|hiinii3oniiniiciihehe';|5||||
MedGr.014|yiisiihi'|6||||
MedGr.014|hokooxuuniiciihehe';|7||||
MedGr.014|wohei|8||||
MedGr.014|yiisiihi'|9||||
MedGr.014|hisee3niicie;|10||||
MedGr.014|ne'cihnoowukoni';|11||||
MedGr.014|noh|12||||
MedGr.014|nouutowuuhu'|13||||
MedGr.014|ceeseiniikoni'.|14||||
MedGr.015|neniitootoxucecnisinenoo.|1||||
MedGr.016|nih'e'inono'|1||||
MedGr.016|nehe'|2||||
MedGr.016|betebihehi'|3||||
MedGr.016|cowo'oo,|4||||
MedGr.017|nih'oyiseihit|1||||
MedGr.017|hiih'o|2||||
MedGr.017|hicebtoo'ooku3oone';|3||||
MedGr.018|nih'iitoutiibiseihit;|1||||
MedGr.018|'oh|2||||
MedGr.018|hiniisiihoho|3||||
MedGr.018|nih'iiteexokuni3i.|4||||
MedGr.019|nihce3betebihehiinit,|1||||
MedGr.019|neeyeih3oneitii|2||||
MedGr.019|neniiyookut.|3||||
MedGr.020|nih'ii3o'ooto'|1||||
MedGr.020|yookoxuu|2||||
MedGr.020|bexo|3||||
MedGr.021|tihi'iicih'ote'eihit.|1||||
MedGr.022|heih'oowuucih'ote'eihin.|1||||
MedGr.023|nonoohowo'|1||||
MedGr.023|hooyiseihit|2||||
MedGr.023|hiih'o|3||||
MedGr.023|hicebtoo'ooku3oone'.|4||||
MedGr.024|hiih'o|1||||
MedGr.024|hiisibio|2||||
MedGr.024|noh|3||||
MedGr.024|hiniisiihoho|4||||
MedGr.024|nihnii3ooneit.|5||||
MedGr.024|hiih'o,|6||||
MedGr.024|houu|7||||
MedGr.024|nee'eesih'ini3,|8||||
MedGr.024|he'ihceibiinoo'ei3een|9||||
MedGr.024|nisicoho;|10||||
MedGr.024|noh|11||||
MedGr.024|hiisibio|12||||
MedGr.024|tohniisneniini3,|13||||
MedGr.024|he'ihtokohun|14||||
MedGr.024|hitoohuuni3|15||||
MedGr.024|hitonih'inoo.|16||||
MedGr.025|he'ihcesiikoohun,|1||||
MedGr.025|noh|2||||
MedGr.025|nehe'|3||||
MedGr.025|betebihehi'|4||||
MedGr.025|he'ihcesiitiib.|5||||
MedGr.026|he'ne'noo3ibeit|1||||
MedGr.026|hiisibio|2||||
MedGr.026|tohwonhi3towooni3|3||||
MedGr.026|tokohuni3.|4||||
MedGr.027|nehe'|1||||
MedGr.027|betebihehi'|2||||
MedGr.027|he'ih'ii[ho]noonon3o'oo3i.|3||||
MedGr.028|biikoo|1||||
MedGr.028|toonhei'iihi'|2||||
MedGr.028|hiisibio|3||||
MedGr.028|hitooxuuhu'|4||||
MedGr.028|no'uuhuni3.|5||||
MedGr.029|hiseino'|1||||
MedGr.029|neniiteheibeini3|2||||
MedGr.029|tohyei'iP|3||||
MedGr.029|noono'yoohuni3,|4||||
MedGr.029|noh|5||||
MedGr.029|huuh'o|6||||
MedGr.029|tohno'useeni3;|7||||
MedGr.030|ne'nooxuneetiini'|1||||
MedGr.030|nehe'|2||||
MedGr.030|betebihehi'|3||||
MedGr.030|toh'eniheihit.|4||||
MedGr.031|honoh'oho'|1||||
MedGr.031|hiiteneihi3i'|2||||
MedGr.031|hetnotiihoo3i'|3||||
MedGr.031|nii3iihi'|4||||
MedGr.031|hiih'eihin;|5||||
MedGr.032|nee'eestoo3i'|1||||
MedGr.032|honoot|2||||
MedGr.032|nookoniihi',|3||||
MedGr.032|'oh|4||||
MedGr.032|hih'oowbii'iiheihin.|5||||
MedGr.033|nowuheihit|1||||
MedGr.033|heetohceiwo'oot|2||||
MedGr.033|booo,|3||||
MedGr.033|nih'iitohwoowo'teno'|4||||
MedGr.033|bexo,|5||||
MedGr.033|noh|6||||
MedGr.033|nih'iitoh3i'isi'ehk|7||||
MedGr.033|-|8||||
MedGr.033|ehk|9||||
