ref|word|num|dep|label|dep2|label2
NaArWo.001|Honoo3itootowoo|1||||
NaArWo.001|nih'eeneisiine'etiinoo|2||||
NaArWo.001|heeswonoote'inowoo|3||||
NaArWo.001|tih'okecii'eseihinoo.|4||||
NaArWo.002|Neisonoo|1||||
NaArWo.002|nihniiwoot|2||||
NaArWo.002|neniiseihini3|3||||
NaArWo.002|hisein|4||||
NaArWo.002|neinoo|5||||
NaArWo.002|nihneenit.|6||||
NaArWo.003|Nihyoo3oni3i'|1||||
NaArWo.003|notou'oho'|2||||
NaArWo.003|noh|3||||
NaArWo.003|nihniisi3i'|4||||
NaArWo.003|neteseiwo'.|5||||
NaArWo.004|Nihniisi'owoobeescecniwoonoo;|1||||
NaArWo.004|nihniiseihit|2||||
NaArWo.004|honoh'oe|3||||
NaArWo.004|neihcebe'eibeescecniwooneiit.|4||||
NaArWo.005|Heenoo|1||||
NaArWo.005|nih'iisoo',|2||||
NaArWo.005|hinono'eino'|3||||
NaArWo.005|nih'iiteco'onwoowo'wuuhu3i'|4||||
NaArWo.005|hi'iihi'|5||||
NaArWo.005|woxhooxebii.|6||||
NaArWo.006|Hini'|1||||
NaArWo.006|betebihoho'|2||||
NaArWo.006|noh|3||||
NaArWo.006|tei'yoonoh'o'|4||||
NaArWo.006|nih'iiteco'onteexoku3i'|5||||
NaArWo.006|cebtoo'ooku3oono;|6||||
NaArWo.007|noh|1||||
NaArWo.007|heenee'iihi'|2||||
NaArWo.007|hini'|3||||
NaArWo.007|niiheyoti'i|4||||
NaArWo.007|nih'iibiino3o'ohu'u.|5||||
NaArWo.008|Nihniiheneihinoo|1||||
NaArWo.008|hooko'oox|2||||
NaArWo.008|noh|3||||
NaArWo.008|nih'iiteco'oniitonih'inoo|4||||
NaArWo.008|niis|5||||
NaArWo.008|wo'ei3|6||||
NaArWo.008|neneh'i3i'|7||||
NaArWo.008|woxhooxebii.|8||||
NaArWo.009|Toonhei'eeneisniiiwoohuutooni'i|1||||
NaArWo.009|hini'|2||||
NaArWo.009|hiseihih'o'|3||||
NaArWo.009|noh|4||||
NaArWo.009|honoh'oehiho'|5||||
NaArWo.009|nih'iiwoohonisee3i';|6||||
