ref|word|num|dep|label|dep2|label2
Pipe.001|Niiscowo'oot|1||||
Pipe.001|nuhu'|2||||
Pipe.001|nihii|3||||
Pipe.001|beh'eihehi'|4||||
Pipe.001|ni'ii3eihit|5||||
Pipe.001|hiiwoonhehe'.|6||||
Pipe.002|Hiicooo.|1||||
Pipe.003|Nihii|1||||
Pipe.003|hi'in|2||||
Pipe.003|nono'ei|3||||
Pipe.003|he'ih3i'ok|4||||
Pipe.003|hiit.|5||||
Pipe.004|biiwooh.|1||||
Pipe.005|he'ne'P|1||||
Pipe.005|noh|2||||
Pipe.005|kookon|3||||
Pipe.005|he'ihnoonoo'ein.|4||||
Pipe.006|Niiwoohu,|1||||
Pipe.006|nuhu'|2||||
Pipe.006|nihbeisneciini'.|3||||
Pipe.007|nec|1||||
Pipe.007|toonhee3e'eini3i|2||||
Pipe.007|hi'in.|3||||
Pipe.008|hoowuni'eeneet;|1||||
Pipe.009|he'ih'iibiiwooh;|1||||
Pipe.010|he'etniitiine'etiinoo3i,|1||||
Pipe.010|he'ih'ii3eih.|2||||
Pipe.011|noh|1||||
Pipe.011|ne'cihbisiseet|2||||
Pipe.011|nehe'|3||||
Pipe.011|hihcebe'|4||||
Pipe.011|nih'oo3oo.|5||||
Pipe.012|He'ihcoo.|1||||
Pipe.013|Cenoot|1||||
Pipe.013|he'iiteihi3i.|2||||
Pipe.014|nei'oohobee|1||||
Pipe.014|nehe'|2||||
Pipe.014|cihno'useeni3.|3||||
Pipe.015|heitoustoo|1||||
Pipe.015|nih'ii3eihok.|2||||
Pipe.016|Heeyou|1||||
Pipe.016|tohu'biiwoohun?|2||||
Pipe.017|'oh|1||||
Pipe.017|he'etniitiine'etiinoo3i|2||||
Pipe.017|nuhu'|3||||
Pipe.017|neito'eino'.|4||||
Pipe.018|Beisiini|1||||
Pipe.018|nuhu'|2||||
Pipe.018|nec.|3||||
Pipe.019|He'etniitiini|1||||
Pipe.019|hiniP|2||||
Pipe.019|heeneine'etiinoo3i,|3||||
Pipe.019|neihinoo.|4||||
Pipe.020|Ne'ni'iibiiwoohunoo,|1||||
Pipe.020|he'ih'ii3ee.|2||||
Pipe.021|'oh|1||||
Pipe.021|neihoowuuni,|2||||
Pipe.021|neihoowoe'in|3||||
Pipe.021|heetniisiini,|4||||
Pipe.021|nih'iit.|5||||
Pipe.022|'oh|1||||
Pipe.022|he'ih'ii3eihok:|2||||
Pipe.022|heetniini,|3||||
Pipe.022|heetniiniiyohou',|4||||
Pipe.022|heetniitP|5||||
Pipe.022|woow|6||||
Pipe.022|nec,|7||||
Pipe.022|nih'iit.|8||||
Pipe.023|Heetne'hiiyohou'oo'oo',|1||||
Pipe.023|nih'ii3eihok.|2||||
Pipe.024|Heetneeneini'P|1||||
Pipe.024|ni'eenentoonee.|2||||
Pipe.025|heetne'biseeneinP.|1||||
Pipe.026|Heetbisceneeteeyoo'.|1||||
Pipe.027|Noh|1||||
Pipe.027|heetniini,|2||||
Pipe.027|heetniibiinoooninoo|3||||
Pipe.027|heetneentoo3i',|4||||
Pipe.027|nih'iit.|5||||
Pipe.028|nuh'uuno|1||||
Pipe.028|nihii,|2||||
Pipe.028|he'iiP,|3||||
Pipe.028|heesiitousih'ino,|4||||
Pipe.028|woxu'uu,|5||||
Pipe.028|noh|6||||
Pipe.028|heeneisih'i'i|7||||
Pipe.028|nuhu'.|8||||
Pipe.029|wohoe'nuhu'...|1||||
Pipe.029|he'ih'ii3eihok.|2||||
Pipe.030|heetniini|1||||
Pipe.030|hiitiino.|2||||
Pipe.031|Neneeninee|1||||
