ref|word|num|dep|label|dep2|label2
Sl.001|Se'esiwonoh'oe.|1||||
Sl.002|Teecxo'|1||||
Sl.002|he'ih'ootee|2||||
Sl.002|hiiteen.|3||||
Sl.003|Hiinoo'eihiiho'|1||||
Sl.003|he'ih'iinohkoohuuno',|2||||
Sl.003|toh'uunoo'ei3i'.|3||||
Sl.004|Wohei|1||||
Sl.004|honoh'oe|2||||
Sl.004|he'ih'iikouto'oob.|3||||
Sl.005|“Nei,|1||||
Sl.005|3owo3ii.|2||||
Sl.006|Hoono'|1||||
Sl.006|heihoowuutoxoono'|2||||
Sl.006|heetete'ei3i',”|3||||
Sl.006|hee3eihok|4||||
Sl.006|hiinoon.|5||||
Sl.007|Kou3iihi'|1||||
Sl.007|he'ne'3owo3iit.|2||||
Sl.008|“Wohei|1||||
Sl.008|no'oo,|2||||
Sl.008|cihwo'ohnooni;|3||||
Sl.008|noh|4||||
Sl.008|3o'ohkuusi.”|5||||
Sl.009|“Nohtou?”|1||||
Sl.009|hee3eihok|2||||
Sl.009|hiinoon.|3||||
Sl.010|“Heetnotiihou'u|1||||
Sl.010|heetete'ei3i',”|2||||
Sl.010|hee3oohok|3||||
Sl.010|hiinoon.|4||||
Sl.011|“Nei,|1||||
Sl.011|ceniixoku3i'|2||||
Sl.011|heetete'ei3i'.|3||||
Sl.012|''Heebehneh'ei'i.|1||||
Sl.013|Nono'oteihi3i',”|1||||
Sl.013|hee3eihok|2||||
Sl.013|hiinoon.|3||||
Sl.014|'oh|1||||
Sl.014|heeneesiihi'|2||||
Sl.014|he'ihce3ei'oo.|3||||
Sl.015|He'ihkoxtisee|1||||
Sl.015|co'oteni'.|2||||
Sl.016|He'ihnoohoot|1||||
Sl.016|niiinon|2||||
Sl.016|niiciihehe'.|3||||
Sl.017|Hei'no'usee|1||||
Sl.017|nuhu'|2||||
Sl.017|niiinone',|3||||
Sl.017|betebihehihi'|4||||
Sl.017|he'ihcih'iiwooku'oo.|5||||
Sl.018|“Neiwoo,|1||||
Sl.018|cih'owouunoni.|2||||
Sl.019|Niinotiihou'u|1||||
Sl.019|heetete'ei3i'.”|2||||
Sl.020|“Neisii,|1||||
Sl.020|yein|2||||
Sl.020|cihnoo'oesee,|3||||
Sl.020|ci'ne'cihciitein.”|4||||
Sl.021|Yein|1||||
Sl.021|he'ihnoo'oesee.|2||||
Sl.022|He'ne'ciiteit.|1||||
Sl.023|“Ceenoku,”|1||||
Sl.023|hee3eihok|2||||
Sl.023|nuhu'|3||||
Sl.023|betebihehiho.|4||||
Sl.024|He'ih'oxobe'|1||||
Sl.024|ciinoo'einon.|2||||
Sl.025|Hei'iisbii3ihit,|1||||
Sl.025|“'ine|2||||
Sl.025|neisii,|3||||
Sl.025|heeyou|4||||
Sl.025|heicoot,”|5||||
Sl.025|hee3eihok|6||||
Sl.025|nuhu'|7||||
Sl.025|betebihehiho.|8||||
Sl.026|“Wohei|1||||
Sl.026|neiwoo,|2||||
Sl.026|neenotiihou'u|3||||
Sl.026|heetete'ei3i'.|4||||
Sl.027|Neinoo|1||||
Sl.027|niiteco'oni'nihii3einoo,|2||||
Sl.027|tohuukouto'oobenoo.”|3||||
Sl.028|“Neisii,|1||||
Sl.028|nono'oteihi3i';|2||||
Sl.028|noh|3||||
Sl.028|ceniixoku3i'.|4||||
