ref|word|num|dep|label|dep2|label2
TomC.001|Tom|1||||
TomC.001|Crispin|2||||
TomC.001|woo3onohu'|3||||
TomC.001|hini'|4||||
TomC.001|nih'iitohtoukuhu3i'|5||||
TomC.001|nonsih'ebiihiiho'|6||||
TomC.001|noh|7||||
TomC.001|hinenno'|8||||
TomC.001|nih'iinoonontoo3i',|9||||
TomC.002|nooxeihi'|1||||
TomC.002|nihneenit|2||||
TomC.002|woxhoox|3||||
TomC.002|nookeih,|4||||
TomC.002|hini'|5||||
TomC.002|Tom|6||||
TomC.002|Crispin|7||||
TomC.002|nihnee'ee3e'inoneihit.|8||||
TomC.003|Woxhoox|1||||
TomC.003|nookeih|2||||
TomC.003|nihcebii'oot|3||||
TomC.003|neesootox|4||||
TomC.004|beteetox|1||||
TomC.004|neesootoxuuni'|2||||
TomC.004|niisootosoo'|3||||
TomC.004|yoo3o[nii]ni',|4||||
TomC.004|neesootox|5||||
TomC.004|hootoneeniisiis|6||||
TomC.004|hii3e'|7||||
TomC.004|North|8||||
TomC.004|Platte|9||||
TomC.004|River|10||||
TomC.004|near|11||||
TomC.004|Fort|12||||
TomC.004|Fetterman.|13||||
TomC.005|Hiisiisii|1||||
TomC.005|niisino'|2||||
TomC.005|nihneeni3|3||||
TomC.005|hiniisonoon.|4||||
TomC.006|Nehe'|1||||
TomC.006|hinen|2||||
TomC.006|nih'itesiineeceenit.|3||||
TomC.007|Hiinoon|1||||
TomC.007|nihkoho'nih'oo3ousei...|2||||
TomC.007|hinono'eini3.|3||||
TomC.008|Neniitowokut|1||||
TomC.008|nihneeni3|2||||
TomC.008|hiinoon.|3||||
TomC.009|Beexoo3iihi'|1||||
TomC.009|hiniisonoon|2||||
TomC.009|he'ihnoo3e'|3||||
TomC.009|nohkuuhu'|4||||
TomC.009|hiinoon.|5||||
TomC.010|Hiisiisii|1||||
TomC.010|niisino'|2||||
TomC.010|toh'itesiineeceenit,|3||||
TomC.010|he'ihnenebiihisee.|4||||
TomC.011|Ne'nihwoohoniseeni3|1||||
TomC.011|nohkuuhu'|2||||
TomC.011|nootneihino'.|3||||
TomC.012|Ne'wonboo'ei3i'|1||||
TomC.012|hii3e'|2||||
TomC.012|heetou'|3||||
TomC.012|Woxuuniicii.|4||||
TomC.013|He'ne'noh'oo3i'|1||||
TomC.013|hini'|2||||
TomC.013|beniiinen[in],|3||||
TomC.013|nihnihooni'eini3|4||||
TomC.014|Woow|1||||
TomC.014|neesootox|2||||
TomC.014|cec|3||||
TomC.014|nihnee'eecxooyeihit|4||||
TomC.014|tihce'no'useet|5||||
TomC.014|hiit|6||||
TomC.014|niitoh'iine'etiino'|7||||
TomC.014|Wind|8||||
TomC.014|River|9||||
TomC.014|Agency/|10||||
TomC.014|Reservation.|11||||
TomC.015|He'ne'niihoonoo3i'|1||||
TomC.015|Hinono'eineeceen|2||||
TomC.015|Tokookeihi'|3||||
TomC.015|Hokeciihih.|4||||
TomC.016|Hiniisonoon|1||||
