ref|word|num|dep|label|dep2|label2
WD2.001|Nih'oo3oo|1||||
WD2.001|noh|2||||
WD2.001|niisiikou'uu.|3||||
WD2.002|Teecxo'|1||||
WD2.002|nuhu'uuno|2||||
WD2.002|hoo3itoo.|3||||
WD2.003|Nih'oo3oo|1||||
WD2.003|tohuuciino'oniseehek.|2||||
WD2.004|Heenoo|1||||
WD2.004|tohuuneeniiho'o',|2||||
WD2.004|tohuuhoowuniihiseehek|3||||
WD2.004|niiyou|4||||
WD2.004|nuhu'|5||||
WD2.004|niiciihehe'.|6||||
WD2.005|Ceesey|1||||
WD2.005|he'ih'oowuniihisee|2||||
WD2.005|niiciihehe'.|3||||
WD2.006|'oh|1||||
WD2.006|he'ihciisisee|2||||
WD2.006|he'iicxooyeiniihi'.|3||||
WD2.007|'oh|1||||
WD2.007|he'ihkoxo'eesnee,|2||||
WD2.007|tohnosouseet.|3||||
WD2.008|'oh|1||||
WD2.008|he'ihniitowoo[t]P|2||||
WD2.008|niitonee|3||||
WD2.008|tohniitouuhuni3i|4||||
WD2.008|siisiikou'uu|5||||
WD2.008|hee3e'eiseet.|6||||
WD2.009|Wohei|1||||
WD2.009|heetbii3ihinoo,|2||||
WD2.009|nih'ii3etiehk.|3||||
WD2.010|heetne'xo'unee|1||||
WD2.010|hinee,|2||||
WD2.010|hi'in|3||||
WD2.010|beexheiseeseet.|4||||
WD2.011|hiiyohneeheyeiseet.|1||||
WD2.012|Ne'P|1||||
WD2.012|ne'koxo'useet.|2||||
WD2.013|Ne'kokoh'u3ecoot.|1||||
WD2.014|Hiiwo',|1||||
WD2.014|niisiinihou'u?|2||||
WD2.015|he'ne'ee'ino'|1||||
WD2.015|heetniistoot.|2||||
WD2.016|Yookoxuu|1||||
WD2.016|he'ne'kooko'oho'.|2||||
WD2.017|Heetne'iini|1||||
WD2.017|ce'eekutiit,|2||||
WD2.017|ce'eekutiit.|3||||
WD2.018|Nih'iisce'eekutiit,|1||||
WD2.018|noh|2||||
WD2.018|ne'P,|3||||
WD2.018|ne'iini|4||||
WD2.018|3ei'iiwoonooto'|5||||
WD2.018|nuhu',|6||||
WD2.018|nuhu',|7||||
WD2.018|nuh'uuno|8||||
WD2.018|yookoxuu.|9||||
WD2.019|He'ne'P|1||||
WD2.019|he'ne'ce'koxo'ce3ei'oot.|2||||
WD2.020|Hiiwoonhehe'|1||||
WD2.020|kooxo'useet.|2||||
WD2.021|3ee3ebneeheyeiseet|1||||
WD2.021|niiyou|2||||
WD2.021|nuhu'|3||||
WD2.021|siisiikou'uu,|4||||
WD2.021|heetneeniitouuhuni3i.|5||||
WD2.022|Noh|1||||
WD2.022|he'iis3ooxuunone'.|2||||
WD2.023|Hesihin|1||||
WD2.023|nih'oo3oo|2||||
WD2.023|cenoot,|3||||
WD2.023|nih'ii3etiehkoni'|4||||
WD2.023|nuhu'|5||||
WD2.023|siisiikou'uu.|6||||
WD2.024|Noh|1||||
WD2.024|too'useet|2||||
WD2.024|nuhu'|3||||
WD2.024|heetooni3i.|4||||
WD2.025|Wohei|1||||
WD2.025|he'ihnottone'|2||||
WD2.025|nih'oo3oo,|3||||
WD2.026|Heeyou,|1||||
WD2.026|heeyou|2||||
WD2.026|hinee|3||||
WD2.026|heine'P|4||||
WD2.026|heiniinooxuut,|5||||
WD2.026|nih'ii3eihok.|6||||
WD2.027|Hee,|1||||
WD2.027|henee3ou'u|2||||
WD2.027|niibootno,|3||||
WD2.027|nenee'|4||||
WD2.027|neniiwoh'uyoono,|5||||
WD2.027|hee3oohok.|6||||
WD2.028|Niibootno|1||||
WD2.028|nenei'i.|2||||
WD2.029|Cihniiboonei'ee,|1||||
WD2.029|nih'ii3eihok.|2||||
WD2.030|Hiiko,|1||||
WD2.030|hoowuuni.|2||||
WD2.031|Kookon|1||||
WD2.031|hoowuniibooheihiinoono|2||||
WD2.031|nuhu'|3||||
WD2.031|niibootno,|4||||
WD2.031|nih'ii3oohok.|5||||
WD2.032|He'ihnihi'neetone'|1||||
WD2.032|nuhu'|2||||
WD2.032|siisiikou'uu.|3||||
WD2.033|Heihii|1||||
WD2.033|he'ihneneesni'oowoxuube'.|2||||
WD2.034|Wohei|1||||
WD2.034|tous,|2||||
WD2.034|hee3oohok.|3||||
WD2.035|Huutiino|1||||
WD2.035|heetbeexuuni|2||||
WD2.035|so'o'bee'|3||||
WD2.035|huut,|4||||
WD2.035|heetbeexuuyooto'bee',|5||||
WD2.035|heetciinenowoo|6||||
WD2.035|nuhu'|7||||
WD2.035|niibootno,|8||||
WD2.036|noh|1||||
WD2.036|heetcihno'useenee.|2||||
WD2.037|Noh|1||||
WD2.037|heetnoo'oeko'eiyookuunee.|2||||
WD2.038|Noh|1||||
WD2.038|he'ihcihno'useenino|2||||
WD2.038|niin[e'eeno]|3||||
